moves,comment,good
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nc6 5. Bb5 Bg4 6. d3 Ne7 7. h3 Bxf3 8. Qxf3 O-O 9. f5 Nd4 10. Qg3 Nxb5 11. Nxb5 f6 12. Be3 Bxe3 13. Qxe3 d5 14. O-O c6 15. Na3 Qb6 16. Qxb6 axb6,"A rare situation in the King's Gambit - all eight
pawns of both side are still on the board. Rubinstein employed what was then a
new plan for the King's Gambit Declined od developing his king's knigth at e7.
From the opening Black achieved an equal game, and the superficially acrive 9.
f5? led merely to difficulties for White. By energetic play 9...Nd4! and 13...
d5! Black seized the initiative, and the inaccurate 14.0-0 (14.Qf2 was correct,
freeing the c3 square for the knight) led Alapin to an umpleasant ending.
White's knight at a3 stands badly, his e4 pawn may become weak, and he appears
to have no prospects at all of active play. Black has fine possibilities of
play both on the queenside along the a-file and in the centre alon the d-file.",True
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nc6 5. Bb5 Bg4 6. d3 Ne7 7. h3 Bxf3 8. Qxf3 O-O 9. f5 Nd4 10. Qg3 Nxb5 11. Nxb5 f6 12. Be3 Bxe3 13. Qxe3 d5 14. O-O c6 15. Na3 Qb6 16. Qxb6 axb6 17. c3,"White weakens the central d3 square, but how else can he bring his
knight into play?",True
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nc6 5. Bb5 Bg4 6. d3 Ne7 7. h3 Bxf3 8. Qxf3 O-O 9. f5 Nd4 10. Qg3 Nxb5 11. Nxb5 f6 12. Be3 Bxe3 13. Qxe3 d5 14. O-O c6 15. Na3 Qb6 16. Qxb6 axb6 17. c3 Rfd8 18. Rf2,"White cannot fight actively for the d-file. On 18.Rfd1 black has the
unpleasant 18...Ra4.  18...",True
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nc6 5. Bb5 Bg4 6. d3 Ne7 7. h3 Bxf3 8. Qxf3 O-O 9. f5 Nd4 10. Qg3 Nxb5 11. Nxb5 f6 12. Be3 Bxe3 13. Qxe3 d5 14. O-O c6 15. Na3 Qb6 16. Qxb6 axb6 17. c3 Rfd8 18. Rf2 Rd7 19. Nc2 Rad8 20. Re1 dxe4,At just the right time. Black was threatening to equalise by 21.d4.,False
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nc6 5. Bb5 Bg4 6. d3 Ne7 7. h3 Bxf3 8. Qxf3 O-O 9. f5 Nd4 10. Qg3 Nxb5 11. Nxb5 f6 12. Be3 Bxe3 13. Qxe3 d5 14. O-O c6 15. Na3 Qb6 16. Qxb6 axb6 17. c3 Rfd8 18. Rf2 Rd7 19. Nc2 Rad8 20. Re1 dxe4 21. dxe4 Nc8 22. Rfe2 b5 23. Na1 Nb6 24. Nb3 Na4 25. Kf2 c5 26. Rc2,"Black has gained
firm control of the d-file and is cramping his opponent on the queenside. He
has avaible a clear plan for streghthening his position on this part of the
board:...c4 and ...Nc5 followed by an invasion on the d-file. White is unable
to prevent this. But Rubinstein is not in a hurry to put his plan into effect,
and he exploits a propitious moment to improve his position on the opposite
wing. This may not be of decisive importance, but it can only be to the
detriment of White.  26...",True
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nc6 5. Bb5 Bg4 6. d3 Ne7 7. h3 Bxf3 8. Qxf3 O-O 9. f5 Nd4 10. Qg3 Nxb5 11. Nxb5 f6 12. Be3 Bxe3 13. Qxe3 d5 14. O-O c6 15. Na3 Qb6 16. Qxb6 axb6 17. c3 Rfd8 18. Rf2 Rd7 19. Nc2 Rad8 20. Re1 dxe4 21. dxe4 Nc8 22. Rfe2 b5 23. Na1 Nb6 24. Nb3 Na4 25. Kf2 c5 26. Rc2 g6 27. fxg6,"27.g4 would have seriously weakened the h3 pawn.
27...",True
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nc6 5. Bb5 Bg4 6. d3 Ne7 7. h3 Bxf3 8. Qxf3 O-O 9. f5 Nd4 10. Qg3 Nxb5 11. Nxb5 f6 12. Be3 Bxe3 13. Qxe3 d5 14. O-O c6 15. Na3 Qb6 16. Qxb6 axb6 17. c3 Rfd8 18. Rf2 Rd7 19. Nc2 Rad8 20. Re1 dxe4 21. dxe4 Nc8 22. Rfe2 b5 23. Na1 Nb6 24. Nb3 Na4 25. Kf2 c5 26. Rc2 g6 27. fxg6 hxg6 28. Nc1 c4 29. Ke3 Kf7 30. Rf1 Rd1,"Whit Rubinstein everything is well timed. White
was threatening to gain counterplay by 31.Rcf2.",True
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nc6 5. Bb5 Bg4 6. d3 Ne7 7. h3 Bxf3 8. Qxf3 O-O 9. f5 Nd4 10. Qg3 Nxb5 11. Nxb5 f6 12. Be3 Bxe3 13. Qxe3 d5 14. O-O c6 15. Na3 Qb6 16. Qxb6 axb6 17. c3 Rfd8 18. Rf2 Rd7 19. Nc2 Rad8 20. Re1 dxe4 21. dxe4 Nc8 22. Rfe2 b5 23. Na1 Nb6 24. Nb3 Na4 25. Kf2 c5 26. Rc2 g6 27. fxg6 hxg6 28. Nc1 c4 29. Ke3 Kf7 30. Rf1 Rd1 31. Rxd1 Rxd1 32. Ke2 Rd7 33. Ke3 Nc5,White is gradually suffocating. Black has many ways to strengthen his position.,False
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nc6 5. Bb5 Bg4 6. d3 Ne7 7. h3 Bxf3 8. Qxf3 O-O 9. f5 Nd4 10. Qg3 Nxb5 11. Nxb5 f6 12. Be3 Bxe3 13. Qxe3 d5 14. O-O c6 15. Na3 Qb6 16. Qxb6 axb6 17. c3 Rfd8 18. Rf2 Rd7 19. Nc2 Rad8 20. Re1 dxe4 21. dxe4 Nc8 22. Rfe2 b5 23. Na1 Nb6 24. Nb3 Na4 25. Kf2 c5 26. Rc2 g6 27. fxg6 hxg6 28. Nc1 c4 29. Ke3 Kf7 30. Rf1 Rd1 31. Rxd1 Rxd1 32. Ke2 Rd7 33. Ke3 Nc5 34. b3,"Alapin makes an attempt to free himself.
34...",True
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nc6 5. Bb5 Bg4 6. d3 Ne7 7. h3 Bxf3 8. Qxf3 O-O 9. f5 Nd4 10. Qg3 Nxb5 11. Nxb5 f6 12. Be3 Bxe3 13. Qxe3 d5 14. O-O c6 15. Na3 Qb6 16. Qxb6 axb6 17. c3 Rfd8 18. Rf2 Rd7 19. Nc2 Rad8 20. Re1 dxe4 21. dxe4 Nc8 22. Rfe2 b5 23. Na1 Nb6 24. Nb3 Na4 25. Kf2 c5 26. Rc2 g6 27. fxg6 hxg6 28. Nc1 c4 29. Ke3 Kf7 30. Rf1 Rd1 31. Rxd1 Rxd1 32. Ke2 Rd7 33. Ke3 Nc5 34. b3 Ke6 35. bxc4 bxc4 36. Rb2 Rd1 37. Rb6+ Kd7 38. Ne2 Kc7,"In conclusion, a little bit of tactis.",True
