comment,good,reasoning,moves,context,engine_eval,engine_best_line,engine_best_alternative
This is the most hypermodern of the usual moves here. Recently I have come to enjoy playing 6...e5 as well.,True," The comment suggests a potential tactical weakness, indicating a flawed opening choice.",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6,This is a game between Belyavsky (as White) and Kasparov (as Black). Last move played: Black plays Knight to c6,Advantage for White (eval: 68 centipawns),7. Qd2 ,6... c5 7. Nge2 
"The normal 8...Rb8, aiming for a rapid advance of the b-pawn, is more principled, but I wanted to avoid the main lines of opening theory.",True," The comment suggests a strategic choice, potentially indicating a misunderstanding of fundamental principles.",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6 7. Qd2 a6 8. Nge2 Re8,This is a game between Belyavsky (as White) and Kasparov (as Black). Last move played: Black plays Rook to e8,Large advantage for White (eval: 100 centipawns),9. h4 h5 ,8... Rb8 9. Rc1 
9.h4 is sharper.,True," The comment suggests a potential tactical improvement, indicating a flaw in the move.",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6 7. Qd2 a6 8. Nge2 Re8 9. Nc1,This is a game between Belyavsky (as White) and Kasparov (as Black). Last move played: White plays Knight to c1,Slight advantage for White (eval: 24 centipawns),9... e5 10. d5 Nd4 11. N1e2 c5 12. dxc6 bxc6 13. Nxd4 exd4 14. Bxd4 d5 15. cxd5 cxd5 16. Bxf6 Bxf6 17. Nxd5 Be6 18. Bc4 Rc8 19. Nxf6+ Qxf6 20. Bxe6 Rxe6 21. O-O Rd6 22. Qb4 Rc2 23. Rf2 Rb6 24. e5 Rxf2 25. exf6 Rxb4 26. Kxf2 Rxb2+ 27. Kg3 h5 28. Rc1 Kh7 ,9. h4 h5 
"Here I thought for over an hour, a personal record at the time. Usually when I think for a long time, I tend to play the most aggressive line. Here it involves a sacrifice. 13.Rd1 Be6 14.Nc1 Rc8 15.Qxd6 Nd4 16.Qxd8 Rexd8 17.b3 b5 Black has an initiative on the queenside.",True," The comment describes a strategic misstep involving a sacrifice, suggesting a flawed positional assessment.",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6 7. Qd2 a6 8. Nge2 Re8 9. Nc1 e5 10. d5 Nd4 11. N1e2 c5 12. dxc6 Nxc6 13. Nd5,This is a game between Belyavsky (as White) and Kasparov (as Black). Last move played: White plays Knight to d5,Advantage for White (eval: 88 centipawns),13... Nxd5 14. cxd5 ,13. Nd5 
"Now it was Belyavsky's turn to think. There are a lot of complicated lines here, and it is not easy to find the best move for White. I think that capturing at b5 was the correct move.",True," The comment suggests the player's analysis was flawed and focused on a specific move, implying a misunderstanding of the overall strategic situation.",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6 7. Qd2 a6 8. Nge2 Re8 9. Nc1 e5 10. d5 Nd4 11. N1e2 c5 12. dxc6 Nxc6 13. Nd5 b5 14. Bb6 Qd7 15. Nc7 Rb8 16. Nxe8 Qxe8,This is a game between Belyavsky (as White) and Kasparov (as Black). Last move played: Black plays Queen takes on e8,Large advantage for White (eval: 102 centipawns),17. cxb5 Rxb6 ,16... Qxe8 
"Black may b e the exchange down, but I have an initiative due to the lack of development in White's camp. 17.cxb5 Rxb6 18.bxc6 d5 The game is opening up and I have pressure on the center, while White's king is stuck in the center.",True," The comment suggests Black’s initiative and the opening up of the position, potentially indicating a flawed strategic assessment.",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6 7. Qd2 a6 8. Nge2 Re8 9. Nc1 e5 10. d5 Nd4 11. N1e2 c5 12. dxc6 Nxc6 13. Nd5 b5 14. Bb6 Qd7 15. Nc7 Rb8 16. Nxe8 Qxe8 17. Be3,This is a game between Belyavsky (as White) and Kasparov (as Black). Last move played: White plays Bishop to e3,Slight advantage for White (eval: 47 centipawns),17... bxc4 ,17. cxb5 Rxb6 
"Here I would have just two pawns for a rook, but the rook sits idly at h1 while I am preparing to shove the pawns down White's throat! Nd4",True," The comment suggests a strategic miscalculation by White, implying a suboptimal pawn structure.",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6 7. Qd2 a6 8. Nge2 Re8 9. Nc1 e5 10. d5 Nd4 11. N1e2 c5 12. dxc6 Nxc6 13. Nd5 b5 14. Bb6 Qd7 15. Nc7 Rb8 16. Nxe8 Qxe8 17. Be3 bxc4 18. Nc3 Be6 19. Be2 Nd5 20. exd5 e4 21. dxe6 Qxe6,This is a game between Belyavsky (as White) and Kasparov (as Black). Last move played: Black plays Queen takes on e6,Large advantage for White (eval: 585 centipawns),22. fxe4 Be5 23. Rc1 Nb4 24. Nd1 d5 25. exd5 Qd6 26. Rxc4 Nxd5 27. Bc5 Qe6 28. g3 Bf6 29. O-O Nb6 30. Qf4 Rc8 31. Qxf6 Nxc4 32. Bd4 Qxf6 33. Rxf6 Rd8 34. Nc3 Nxb2 ,21... fxe6 22. fxe4 d5 23. exd5 exd5 24. O-O Rxb2 25. Qxd5+ Kh8 26. Kh1 Bxc3 27. Bxc4 Rxg2 28. Kxg2 Ne5 29. Rad1 Nxc4 30. Qxc4 Bg7 31. Kh1 h6 32. Rf7 Qxe3 33. Qd5 Qh3 34. Qf3 Qh4 35. Qf4 Qh3 
"Nxd5 Bxd5 Now I have one pawn for the exchange and much more active pieces, plus total control of the center. Rf2 23.f4 Nxe2+ 24.Qxe2 exf4 25.Rxf4 Rxb2",True," The comment describes a potentially aggressive and tactical sequence, suggesting a flawed opening choice.",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6 7. Qd2 a6 8. Nge2 Re8 9. Nc1 e5 10. d5 Nd4 11. N1e2 c5 12. dxc6 Nxc6 13. Nd5 b5 14. Bb6 Qd7 15. Nc7 Rb8 16. Nxe8 Qxe8 17. Be3 bxc4 18. Nc3 Be6 19. Be2 Nd5 20. exd5 e4 21. dxe6 Qxe6 22. O-O d5 23. Nxd5,This is a game between Belyavsky (as White) and Kasparov (as Black). Last move played: White plays Knight takes on d5,Large advantage for White (eval: 498 centipawns),23... Rxb2 24. Qd1 c3 25. fxe4 Qxe4 26. Qd3 Qe6 27. Rae1 Ne5 28. Qe4 f5 29. Ne7+ Qxe7 30. Bc4+ Nxc4 31. Qxc4+ Qf7 32. Qc8+ Qf8 33. Qc6 Qf7 34. Qa8+ Qf8 35. Qd5+ Qf7 ,23. Qxd5 Rxb2 24. Qxe6 fxe6 25. Rab1 Bxc3 26. Rxb2 Bxb2 27. Bxc4 exf3 28. Bxe6+ Kg7 29. Rxf3 Ne5 30. Rf2 Ba1 31. Rf1 Bc3 32. Rc1 Bb2 33. Rc2 Ba3 34. Rc7+ Kf6 35. Bb3 Ng4 
Rc1 Qe6 Bf1,True,", The comment indicates a potential weakness in the pawn structure, suggesting a poorly timed development.",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6 7. Qd2 a6 8. Nge2 Re8 9. Nc1 e5 10. d5 Nd4 11. N1e2 c5 12. dxc6 Nxc6 13. Nd5 b5 14. Bb6 Qd7 15. Nc7 Rb8 16. Nxe8 Qxe8 17. Be3 bxc4 18. Nc3 Be6 19. Be2 Nd5 20. exd5 e4 21. dxe6 Qxe6 22. O-O d5 23. Nxd5 h5,This is a game between Belyavsky (as White) and Kasparov (as Black). Last move played: Black plays Pawn to h5,Large advantage for White (eval: 597 centipawns),24. Rab1 exf3 25. Bxf3 h4 26. Nf4 Qf6 27. Bxc6 Qxc6 28. Qf2 Qe4 29. Ba7 h3 30. Nxh3 c3 31. Qxf7+ Kh8 32. Kh1 Rxb2 ,23... Rxb2 24. Qd1 c3 25. fxe4 Qxe4 26. Qd3 Qe6 27. Rae1 Ne5 28. Qe4 f5 29. Ne7+ Qxe7 30. Bc4+ Nxc4 31. Qxc4+ Qf7 32. Qc8+ Qf8 33. Qc6 Qf7 34. Qa8+ Qf8 35. Qd5+ Qf7 
Re1 Qc6 Nobody's perfect! I should have played 26...Nf5 here.,True," The comment suggests a potential missed opportunity, indicating a flaw in the move selection.",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 Nc6 7. Qd2 a6 8. Nge2 Re8 9. Nc1 e5 10. d5 Nd4 11. N1e2 c5 12. dxc6 Nxc6 13. Nd5 b5 14. Bb6 Qd7 15. Nc7 Rb8 16. Nxe8 Qxe8 17. Be3 bxc4 18. Nc3 Be6 19. Be2 Nd5 20. exd5 e4 21. dxe6 Qxe6 22. O-O d5 23. Nxd5 h5 24. h4,This is a game between Belyavsky (as White) and Kasparov (as Black). Last move played: White plays Pawn to h4,Large advantage for White (eval: 442 centipawns),24... Rxb2 25. Qd1 exf3 26. Bxf3 c3 27. Rc1 Nb4 28. Bf2 Nxa2 29. Re1 Be5 30. Rc2 Qd6 31. Kf1 Nb4 32. Nxb4 Qxb4 33. Qd3 Qf4 34. Rxb2 cxb2 35. g3 Qf5 ,24. Rab1 exf3 25. Bxf3 h4 26. Nf4 Qf6 27. Bxc6 Qxc6 28. Qf2 Qe4 29. Ba7 h3 30. Nxh3 c3 31. Qxf7+ Kh8 32. Kh1 Rxb2 
