moves,comment,good
1. e4 e5 2. Nc3 Nc6 3. Nf3 g6 4. d4,"As opening theory (even in the commonly played Open Games) was not well developed in the late nineteenth century, a critical analysis of the opening phase is redundant.",False
1. e4 e5 2. Nc3 Nc6 3. Nf3 g6 4. d4 exd4 5. Nxd4 Bg7 6. Be3 Nge7,"Nevertheless, this is quite a ""modern ""idea as Black refrains from blocking the field of action from his Bg7, with for example 6...d6, followed by 7...Nf6.",True
1. e4 e5 2. Nc3 Nc6 3. Nf3 g6 4. d4 exd4 5. Nxd4 Bg7 6. Be3 Nge7 7. Bc4,More aggressive is 7.Qd2 0-0 8.0-0-0. The text has the idea of hindering d7-d5.,True
1. e4 e5 2. Nc3 Nc6 3. Nf3 g6 4. d4 exd4 5. Nxd4 Bg7 6. Be3 Nge7 7. Bc4 d6 8. O-O O-O 9. f4,"This leaves the Be3 unprotected and a tactical liability in some variations. A more modern approach might be 9.Re1 when the bishop on c4 can retreat to f1, if need be.",True
1. e4 e5 2. Nc3 Nc6 3. Nf3 g6 4. d4 exd4 5. Nxd4 Bg7 6. Be3 Nge7 7. Bc4 d6 8. O-O O-O 9. f4 Na5 10. Bd3,Better is 10.Be2.,True
1. e4 e5 2. Nc3 Nc6 3. Nf3 g6 4. d4 exd4 5. Nxd4 Bg7 6. Be3 Nge7 7. Bc4 d6 8. O-O O-O 9. f4 Na5 10. Bd3 d5,"With this pawn break, Black equalizes easily. As play unfolds, we will see that Black develops an initiative by virtue of having the more active minor pieces.",True
1. e4 e5 2. Nc3 Nc6 3. Nf3 g6 4. d4 exd4 5. Nxd4 Bg7 6. Be3 Nge7 7. Bc4 d6 8. O-O O-O 9. f4 Na5 10. Bd3 d5 11. exd5,"White cannot play 11.e5? because of 11...c5, followed by the pawn fork 12...d4.",False
1. e4 e5 2. Nc3 Nc6 3. Nf3 g6 4. d4 exd4 5. Nxd4 Bg7 6. Be3 Nge7 7. Bc4 d6 8. O-O O-O 9. f4 Na5 10. Bd3 d5 11. exd5 Nxd5 12. Nxd5 Qxd5 13. c3,Necessary - now White's cluster of minor pieces on the central files have a loose feel to them.,True
1. e4 e5 2. Nc3 Nc6 3. Nf3 g6 4. d4 exd4 5. Nxd4 Bg7 6. Be3 Nge7 7. Bc4 d6 8. O-O O-O 9. f4 Na5 10. Bd3 d5 11. exd5 Nxd5 12. Nxd5 Qxd5 13. c3 Rd8,"A very strong move, threatening 14...c5, so White must move his queen off the d-file.",False
1. e4 e5 2. Nc3 Nc6 3. Nf3 g6 4. d4 exd4 5. Nxd4 Bg7 6. Be3 Nge7 7. Bc4 d6 8. O-O O-O 9. f4 Na5 10. Bd3 d5 11. exd5 Nxd5 12. Nxd5 Qxd5 13. c3 Rd8 14. Qc2,White plans to answer 14...c5 with 15.Be4.,False
1. e4 e5 2. Nc3 Nc6 3. Nf3 g6 4. d4 exd4 5. Nxd4 Bg7 6. Be3 Nge7 7. Bc4 d6 8. O-O O-O 9. f4 Na5 10. Bd3 d5 11. exd5 Nxd5 12. Nxd5 Qxd5 13. c3 Rd8 14. Qc2 Nc4,"Because of the loose Be3, White is more or less forced to part with the bishop pair.",True
