moves,comment,good
1. e4 e5 2. Nf3 Nf6,"Odd, from someone who generally plays the Black side of a Spanish, hoping for a Marshall Gambit.",True
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4,"White tries to undermine Ne4 or force it to retreat, opening the d3-h7 diagonal and making it easier for White to develop without simplifying piece exchanges.",False
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4 Nb4 9. Be2 O-O 10. a3 Nc6 11. cxd5 Qxd5 12. Nc3 Nxc3 13. bxc3,"White has gotten rid of Ne4, but Black has Qd5 and no significant cramp. His pieces can maneuver freely.",True
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4 Nb4 9. Be2 O-O 10. a3 Nc6 11. cxd5 Qxd5 12. Nc3 Nxc3 13. bxc3 Bf5,"and he can, once again, challenge for control of the d3-h7 diagonal!",True
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4 Nb4 9. Be2 O-O 10. a3 Nc6 11. cxd5 Qxd5 12. Nc3 Nxc3 13. bxc3 Bf5 14. Re1 Rfe8 15. Bf4 Rac8 16. c4 Qe4,"The queen seems very strong, but is in fact quite exposed so all of White's smaller forces.",True
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4 Nb4 9. Be2 O-O 10. a3 Nc6 11. cxd5 Qxd5 12. Nc3 Nxc3 13. bxc3 Bf5 14. Re1 Rfe8 15. Bf4 Rac8 16. c4 Qe4 17. Be3,"It would appear Kasparov lost a tempo by moving Bc1-f4-e3, but he forced Ra8-c8, so now Be3 will be aligned with Pa7 when it's a tad weaker than before. If he can't use the d3-h7 diagonal to attack Kg8 he must use his bishops more conservatively to align against Black's queen-side.",True
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4 Nb4 9. Be2 O-O 10. a3 Nc6 11. cxd5 Qxd5 12. Nc3 Nxc3 13. bxc3 Bf5 14. Re1 Rfe8 15. Bf4 Rac8 16. c4 Qe4 17. Be3 Bf6 18. Ra2 b6,"This changes a lot. Black's pieces are active and Be3 has no target and Be2 can't get active. What's White to do, perhaps Ra2-d2 to threaten Be2-d3?",True
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4 Nb4 9. Be2 O-O 10. a3 Nc6 11. cxd5 Qxd5 12. Nc3 Nxc3 13. bxc3 Bf5 14. Re1 Rfe8 15. Bf4 Rac8 16. c4 Qe4 17. Be3 Bf6 18. Ra2 b6 19. h3 Na5 20. g4,Wow! This is a drastic measure. How can he get away with this?,True
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4 Nb4 9. Be2 O-O 10. a3 Nc6 11. cxd5 Qxd5 12. Nc3 Nxc3 13. bxc3 Bf5 14. Re1 Rfe8 15. Bf4 Rac8 16. c4 Qe4 17. Be3 Bf6 18. Ra2 b6 19. h3 Na5 20. g4 Bg6 21. g5 Be7 22. Ne5,Qe4 looks awkwardly alone and surrounded by enemy pieces.,True
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4 Nb4 9. Be2 O-O 10. a3 Nc6 11. cxd5 Qxd5 12. Nc3 Nxc3 13. bxc3 Bf5 14. Re1 Rfe8 15. Bf4 Rac8 16. c4 Qe4 17. Be3 Bf6 18. Ra2 b6 19. h3 Na5 20. g4 Bg6 21. g5 Be7 22. Ne5 Bd6 23. Nxg6 hxg6 24. c5,"It must have been a difficult choice, to make this move. His pawns are weak, but they chase Black's pieces. How much is gained is unclear. Do White's pieces really benefit enough?",True
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4 Nb4 9. Be2 O-O 10. a3 Nc6 11. cxd5 Qxd5 12. Nc3 Nxc3 13. bxc3 Bf5 14. Re1 Rfe8 15. Bf4 Rac8 16. c4 Qe4 17. Be3 Bf6 18. Ra2 b6 19. h3 Na5 20. g4 Bg6 21. g5 Be7 22. Ne5 Bd6 23. Nxg6 hxg6 24. c5 Bf8,It's still hard to tell whether White is trouncing Black or his position is falling apart.,True
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4 Nb4 9. Be2 O-O 10. a3 Nc6 11. cxd5 Qxd5 12. Nc3 Nxc3 13. bxc3 Bf5 14. Re1 Rfe8 15. Bf4 Rac8 16. c4 Qe4 17. Be3 Bf6 18. Ra2 b6 19. h3 Na5 20. g4 Bg6 21. g5 Be7 22. Ne5 Bd6 23. Nxg6 hxg6 24. c5 Bf8 25. Bg4 Rcd8 26. Rae2,There are the doubled rooks behind a minor piece; a theme which played such a prominent role in his previous round game against Ivanchuk.,True
