moves,comment,good
1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nc6,"Just to let White understand that
he can suddenly lose the first move advantage.",True
1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nc6 5. c3 Bd6 6. Nf3 Nge7 7. Qc2,"According to Tartakower this move is a waste of time. Indeed, he says, the
loss of the game is because of such a waste of time. Difficult to believe?
Here one could play:",True
1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nc6 5. c3 Bd6 6. Nf3 Nge7 7. Qc2 Bg4 8. Nbd2 Qd7 9. O-O f6,Move to prepare an imminent attack.,False
1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nc6 5. c3 Bd6 6. Nf3 Nge7 7. Qc2 Bg4 8. Nbd2 Qd7 9. O-O f6 10. Re1 g5 11. h3,"Removes the lightsquared Bishop, but also weakens the castling. 11...",True
1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nc6 5. c3 Bd6 6. Nf3 Nge7 7. Qc2 Bg4 8. Nbd2 Qd7 9. O-O f6 10. Re1 g5 11. h3 Be6 12. Nf1 O-O-O 13. b4,Counterattack. 13...,True
1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nc6 5. c3 Bd6 6. Nf3 Nge7 7. Qc2 Bg4 8. Nbd2 Qd7 9. O-O f6 10. Re1 g5 11. h3 Be6 12. Nf1 O-O-O 13. b4 Rdg8 14. a4 Nd8,"To be able to reply to the possible 15.Bb5 con 15...c6. As Nimzowitsch himself
teaches us: ""First of all...consolidate your position"".",True
1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nc6 5. c3 Bd6 6. Nf3 Nge7 7. Qc2 Bg4 8. Nbd2 Qd7 9. O-O f6 10. Re1 g5 11. h3 Be6 12. Nf1 O-O-O 13. b4 Rdg8 14. a4 Nd8 15. b5 h5 16. N3h2 Rg7 17. a5,"The two attacks, the Black one on the kingside and the White one on
the queenside, look symmetrical. In cases like this one the time factor is
decisive. As we have seen, if the argentinian Grau did nont waste a tempo by
playng 7.Qc2.... 17...",False
1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nc6 5. c3 Bd6 6. Nf3 Nge7 7. Qc2 Bg4 8. Nbd2 Qd7 9. O-O f6 10. Re1 g5 11. h3 Be6 12. Nf1 O-O-O 13. b4 Rdg8 14. a4 Nd8 15. b5 h5 16. N3h2 Rg7 17. a5 Kb8 18. Ba3 Bxa3 19. Rxa3 h4,!,True
1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nc6 5. c3 Bd6 6. Nf3 Nge7 7. Qc2 Bg4 8. Nbd2 Qd7 9. O-O f6 10. Re1 g5 11. h3 Be6 12. Nf1 O-O-O 13. b4 Rdg8 14. a4 Nd8 15. b5 h5 16. N3h2 Rg7 17. a5 Kb8 18. Ba3 Bxa3 19. Rxa3 h4 20. b6 Rhg8 21. a6 cxb6 22. axb7 Nec6,"So White can not hope to get
something by sacrificing the Rook on the pawn in a7. Strategy and...badness!",True
1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nc6 5. c3 Bd6 6. Nf3 Nge7 7. Qc2 Bg4 8. Nbd2 Qd7 9. O-O f6 10. Re1 g5 11. h3 Be6 12. Nf1 O-O-O 13. b4 Rdg8 14. a4 Nd8 15. b5 h5 16. N3h2 Rg7 17. a5 Kb8 18. Ba3 Bxa3 19. Rxa3 h4 20. b6 Rhg8 21. a6 cxb6 22. axb7 Nec6 23. Bb5 g4,We are closed to the end.,False
1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nc6 5. c3 Bd6 6. Nf3 Nge7 7. Qc2 Bg4 8. Nbd2 Qd7 9. O-O f6 10. Re1 g5 11. h3 Be6 12. Nf1 O-O-O 13. b4 Rdg8 14. a4 Nd8 15. b5 h5 16. N3h2 Rg7 17. a5 Kb8 18. Ba3 Bxa3 19. Rxa3 h4 20. b6 Rhg8 21. a6 cxb6 22. axb7 Nec6 23. Bb5 g4 24. hxg4 Bxg4 25. Qd2 Qd6 26. Ra2 Be2,!! - Very good!,False
