moves,comment,good
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6,"Offering a queen trade is unusual and I'm not so sure White should trade. But, it does cost Black castling priviliges and White has a lead in development, so it can't be terrible for White. The only question is whether a lead in development can be dangerous to Black if there aren't enough pawns to smother him or enough open lines to use a lead in development to good advantage.",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bf4,"This prevents Black from developing ...Bf8-d6 where it would threaten Ph2 and prevent e4-e5. It also prevents ...Kd8-c7, which would help Black to connect his rooks on the back rank.",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bf4 Bb4 9. O-O-O+ Ke7 10. f3 Rd8 11. Be2,"White does her best to maintain perfect control of the d-file and to restrain Black from developing. In such a position every extra move White has to build an offense is crucial. Also, there aren't any seriously weak spots in White's position, so when Black gets developed he still won't have any immediate threats.",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bf4 Bb4 9. O-O-O+ Ke7 10. f3 Rd8 11. Be2 Bd7 12. a3 Bxc3 13. Bd6+ Ke8 14. bxc3,"Now White has a chance to use c3-c4 to control d5 and e4-e5 to chase Nf6 while creating a bind on Black, so that Bd7 and the rooks can't become active.",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bf4 Bb4 9. O-O-O+ Ke7 10. f3 Rd8 11. Be2 Bd7 12. a3 Bxc3 13. Bd6+ Ke8 14. bxc3 b6 15. g4,threatening g4-g5; another way of chasing Nf6,True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bf4 Bb4 9. O-O-O+ Ke7 10. f3 Rd8 11. Be2 Bd7 12. a3 Bxc3 13. Bd6+ Ke8 14. bxc3 b6 15. g4 c5,"Black steadfastly continues the plan to develop Bd7 and clear the d-file for his rooks. Apparently he wanted to play ...b6 and ...c5, so that when White played 12. a3 he couldn't see any good way to play Bb4 without it becoming trapped, so he traded it for Nc3.",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bf4 Bb4 9. O-O-O+ Ke7 10. f3 Rd8 11. Be2 Bd7 12. a3 Bxc3 13. Bd6+ Ke8 14. bxc3 b6 15. g4 c5 16. Bc7 Rdc8 17. Be5,Just a small tactical point: now Black can't avoid a weakened king-side because ...Ke7 can't defend both Bd7 and Nf6. Bxf6 would have to be met by ...gxf6.,True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bf4 Bb4 9. O-O-O+ Ke7 10. f3 Rd8 11. Be2 Bd7 12. a3 Bxc3 13. Bd6+ Ke8 14. bxc3 b6 15. g4 c5 16. Bc7 Rdc8 17. Be5 Bc6 18. g5 Nh5 19. f4 g6 20. Rd6,This is an interesting tactical attempt to avoid having to defend Pe4 and it had to have been in mind before she played f3-f4.,True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bf4 Bb4 9. O-O-O+ Ke7 10. f3 Rd8 11. Be2 Bd7 12. a3 Bxc3 13. Bd6+ Ke8 14. bxc3 b6 15. g4 c5 16. Bc7 Rdc8 17. Be5 Bc6 18. g5 Nh5 19. f4 g6 20. Rd6 Ke7 21. Ba6 Bxe4 22. Rhd1 Bc6 23. Bb7,"a third nifty tactic to force events. Getting rid of Bc6, so White can invade the seventh rank is more important than winning the exchange by Bxc8.",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bf4 Bb4 9. O-O-O+ Ke7 10. f3 Rd8 11. Be2 Bd7 12. a3 Bxc3 13. Bd6+ Ke8 14. bxc3 b6 15. g4 c5 16. Bc7 Rdc8 17. Be5 Bc6 18. g5 Nh5 19. f4 g6 20. Rd6 Ke7 21. Ba6 Bxe4 22. Rhd1 Bc6 23. Bb7 Be8 24. c4 Ba4 25. R6d3,"Apparently White needs to find (or create) another weak spot in Black's defenses, so it's not so easy for Black to defend.",True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bf4 Bb4 9. O-O-O+ Ke7 10. f3 Rd8 11. Be2 Bd7 12. a3 Bxc3 13. Bd6+ Ke8 14. bxc3 b6 15. g4 c5 16. Bc7 Rdc8 17. Be5 Bc6 18. g5 Nh5 19. f4 g6 20. Rd6 Ke7 21. Ba6 Bxe4 22. Rhd1 Bc6 23. Bb7 Be8 24. c4 Ba4 25. R6d3 Bc6 26. Bxc6 Rxc6 27. Rd7+ Ke8 28. Bf6,threatening checkmate by Rd7-d8+,True
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bf4 Bb4 9. O-O-O+ Ke7 10. f3 Rd8 11. Be2 Bd7 12. a3 Bxc3 13. Bd6+ Ke8 14. bxc3 b6 15. g4 c5 16. Bc7 Rdc8 17. Be5 Bc6 18. g5 Nh5 19. f4 g6 20. Rd6 Ke7 21. Ba6 Bxe4 22. Rhd1 Bc6 23. Bb7 Be8 24. c4 Ba4 25. R6d3 Bc6 26. Bxc6 Rxc6 27. Rd7+ Ke8 28. Bf6 Rcc8 29. Re7+,White doubles rooks on the seventh rank because of this check. Black can't oppose rooks on the d-file.,True
