moves,comment,good
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6,"One of Nimzovich's original ideas, which, has now been widely analyzed.",False
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3,Also possible is 5)Qa4 when Black can play 5)...Be7 6. Bg2 O-O 7. O-O c6 8)Nc3 d5 9. Ne5 Qe8! 10. cxd5 exd5 11. Bg5 h6 12. Bxf6 Bxf6 13. Ng4 Bd8 14)Rfe1 with interesting play.,True
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 d5 6. Bg2 Bb4+ 7. Nfd2,(7. Bd2 Be7!(A common idea in such positions. The Bishop on d2 is misplaced.. 8. Nc3 O-O 9. cxd5 exd5 10. Ne5 Bb7 =.),True
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 d5 6. Bg2 Bb4+ 7. Nfd2 c5,Energetic play by Smyslov casts doubts on White's previous extravagant move. Otherwise White would have played a3 followed by e4.,True
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 d5 6. Bg2 Bb4+ 7. Nfd2 c5 8. dxc5 Bxc5 9. Bb2 O-O 10. O-O Nc6 11. Nc3 Rc8 12. cxd5,A careless exchange. The resultant isolated pawn position is not much important since it allows too much leeway to the Black pieces. Better is 12. Na4 and only after 12)...Bb4 13. cxd5 when 13)... exd5 14. a3 Re8! 15. axb4 Bxe2 16. Qb1 Bf1 17. Nf1 Nxb4 18)Bc3 Nc6 19. Qf5 d4 20. Bb2 Nb4 21. Rd1 d3 with a very unclear position not certainly recommendable to the faint hearted.,True
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 d5 6. Bg2 Bb4+ 7. Nfd2 c5 8. dxc5 Bxc5 9. Bb2 O-O 10. O-O Nc6 11. Nc3 Rc8 12. cxd5 exd5 13. Na4,A move too late.,True
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 d5 6. Bg2 Bb4+ 7. Nfd2 c5 8. dxc5 Bxc5 9. Bb2 O-O 10. O-O Nc6 11. Nc3 Rc8 12. cxd5 exd5 13. Na4 Nd4 14. Nc3,What else ? If 14. Re1 Nc2 15. Qxc2 Bxf2+ 16. Kxf2 Rxc2 -+){,False
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 d5 6. Bg2 Bb4+ 7. Nfd2 c5 8. dxc5 Bxc5 9. Bb2 O-O 10. O-O Nc6 11. Nc3 Rc8 12. cxd5 exd5 13. Na4 Nd4 14. Nc3 Qe7,"(14...Bb4, with the idea of destroying the main defender of the e2-pawn, doesn't serve the purpose because of the cool 15. Ndb1! . Black has a combination in store against White's next move which is probably the only move in the position.)",True
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 d5 6. Bg2 Bb4+ 7. Nfd2 c5 8. dxc5 Bxc5 9. Bb2 O-O 10. O-O Nc6 11. Nc3 Rc8 12. cxd5 exd5 13. Na4 Nd4 14. Nc3 Qe7 15. Re1,"Natural, but not good.",True
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 d5 6. Bg2 Bb4+ 7. Nfd2 c5 8. dxc5 Bxc5 9. Bb2 O-O 10. O-O Nc6 11. Nc3 Rc8 12. cxd5 exd5 13. Na4 Nd4 14. Nc3 Qe7 15. Re1 Nc2,"""The straw that breaks the camel's back.""",True
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 d5 6. Bg2 Bb4+ 7. Nfd2 c5 8. dxc5 Bxc5 9. Bb2 O-O 10. O-O Nc6 11. Nc3 Rc8 12. cxd5 exd5 13. Na4 Nd4 14. Nc3 Qe7 15. Re1 Nc2 16. Rf1,"Not allowing combinational beauty since it is a nightmare to be at the receiving end. If 16. Qxc2 then 16...Bxf2+ 17. Kh1 Be1 18. Re1 d4 -+ 17. Kf2 Ng4 
(B1. 18. Kg1 Qe3+ 19. Kh1 Nf2+ 20. Kg1 Nh3+ 21. Kh1 Qg1+ 22. Rg1 Nf2 mate.)
(B2. 18. Kf1 Qe3 19. Nd1 Nh2 mate.)
(B3. 18. Kf3 Qe3+ 19. Kg4 Rc4+  $3 20. bxc4 Bc8+ 21. Kh4 Qh6 mate.)",True
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 d5 6. Bg2 Bb4+ 7. Nfd2 c5 8. dxc5 Bxc5 9. Bb2 O-O 10. O-O Nc6 11. Nc3 Rc8 12. cxd5 exd5 13. Na4 Nd4 14. Nc3 Qe7 15. Re1 Nc2 16. Rf1 Nxa1 17. Qxa1 Rfd8 18. Bf3 Ba3,Smyslov's all time favourite setup was the Queen's Indian Defense setup in which he had such mastery that nobody could dispute .The above game amply drives home the point.,False
