moves,comment,good
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6,The Morphy defence of the Ruy Lopez.,False
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6,Now we are in basic position of the open variation.,False
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. c3,"reinferces the
control of the d4 square and allows the ""spanish"" Bishop to avoid the exchange
in case it is attacked by the Knights.  9...",False
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. c3 Be7 10. Re1,Preparing 11.Nf3-d4. 10...,False
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. c3 Be7 10. Re1 O-O 11. Nd4 Nxd4 12. cxd4 c6 13. f3 Ng5 14. Nc3 Bf5,"The square e6, if needed, sould be useful to the Knight.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. c3 Be7 10. Re1 O-O 11. Nd4 Nxd4 12. cxd4 c6 13. f3 Ng5 14. Nc3 Bf5 15. g4,"The attacks using the pawns of an already castled King are always fascinating
for their audacity.  15...",False
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. c3 Be7 10. Re1 O-O 11. Nd4 Nxd4 12. cxd4 c6 13. f3 Ng5 14. Nc3 Bf5 15. g4 Bc8 16. f4,Ping! 16...,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. c3 Be7 10. Re1 O-O 11. Nd4 Nxd4 12. cxd4 c6 13. f3 Ng5 14. Nc3 Bf5 15. g4 Bc8 16. f4 b4,Pong! The opponents hit each other to control the e4 square.,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. c3 Be7 10. Re1 O-O 11. Nd4 Nxd4 12. cxd4 c6 13. f3 Ng5 14. Nc3 Bf5 15. g4 Bc8 16. f4 b4 17. Na4 Ne4 18. f5 Bg5 19. Qf3 Bxc1 20. Raxc1 Qh4 21. Re2,"(More cautious would have been 21.Re3)
21...",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. c3 Be7 10. Re1 O-O 11. Nd4 Nxd4 12. cxd4 c6 13. f3 Ng5 14. Nc3 Bf5 15. g4 Bc8 16. f4 b4 17. Na4 Ne4 18. f5 Bg5 19. Qf3 Bxc1 20. Raxc1 Qh4 21. Re2 Ng5 22. Qg3 Qxg3+ 23. hxg3 Nf3+ 24. Kf2 Nxd4,"In this way Pollock wins a wonderful pawn. It looks,
however, that Pillsbury, already since his 21st move (21.Re2) has already
calculated everything until here and beyond. Let's see what plan he has
thought to have some compensation for the sacrificed material.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. c3 Be7 10. Re1 O-O 11. Nd4 Nxd4 12. cxd4 c6 13. f3 Ng5 14. Nc3 Bf5 15. g4 Bc8 16. f4 b4 17. Na4 Ne4 18. f5 Bg5 19. Qf3 Bxc1 20. Raxc1 Qh4 21. Re2 Ng5 22. Qg3 Qxg3+ 23. hxg3 Nf3+ 24. Kf2 Nxd4 25. Rd2 Nxb3 26. axb3 Bb7,It looks the best one to protect the pawn c6.,False
