moves,comment,good
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. Nbd2 Nc5 10. c3 d4 11. Ng5 Bd5 12. Nxf7,"It was only here that I looked up the theory and learned that 12.Nxf7 was a move... it seemed more interesting than any of the alternatives so I just played it. I figured that since Svidler had played it once against Anand it couldn't be too bad, so I would just go where the currents took me and figure things out as I went. It turned out that this led to a very interesting struggle.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. Nbd2 Nc5 10. c3 d4 11. Ng5 Bd5 12. Nxf7 Kxf7 13. Qf3+ Ke6 14. Ne4,"Before I played this I had got around to studying the position myself and I decided I liked this move better than Svidler's approach. 14.Ne4 is natural; it clears the way for the c1-bishop, the f-pawn, and it has some less obvious points as well.",False
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. Nbd2 Nc5 10. c3 d4 11. Ng5 Bd5 12. Nxf7 Kxf7 13. Qf3+ Ke6 14. Ne4 Nxe4 15. Qxe4,"Since the c1-bishop is unleashed black cannot meet 16. Qg4+ anymore with 16...Ke7. Therefore, the main threat is Qg4+, Qf5+, and e5-e6, when there is a mate threat to f7 and the bishop on d5 suddenly hangs. Black's move 15...Ne7 seems like the only way to meet this threat tactically, but since it involves backing up, burying the f8-bishop and leaving the king in the center, I ought to have good compensation for the piece.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. Nbd2 Nc5 10. c3 d4 11. Ng5 Bd5 12. Nxf7 Kxf7 13. Qf3+ Ke6 14. Ne4 Nxe4 15. Qxe4 Ne7 16. Bg5 Bxb3 17. Qg4+,"This is an important intermezzo that might not be so easy to spot over the board. I didn't see what would happen but I saw that I had to play it or else I would lose my compensation for the piece, so I was still flowing with the current...",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. Nbd2 Nc5 10. c3 d4 11. Ng5 Bd5 12. Nxf7 Kxf7 13. Qf3+ Ke6 14. Ne4 Nxe4 15. Qxe4 Ne7 16. Bg5 Bxb3 17. Qg4+ Kf7 18. axb3 Qd5 19. c4,"19.f4 immediately might be possible, but it seemed obvious to play this first. The tactical idea is just that if black leaves the diagonal then Qf3+ picks up a rook. c6 is apparently a worse square for the queen because she is actually well-placed in a centralised position; for example f4-f5 is met by just ...Qxe5. However in the game there is another important consideration that comes out; from c6 the queen makes a defense possible with ...Ng6, so 19.c4 may have actually helped black.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. Nbd2 Nc5 10. c3 d4 11. Ng5 Bd5 12. Nxf7 Kxf7 13. Qf3+ Ke6 14. Ne4 Nxe4 15. Qxe4 Ne7 16. Bg5 Bxb3 17. Qg4+ Kf7 18. axb3 Qd5 19. c4 bxc4,Playing this before ...Qc6 avoids cxb5.,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. Nbd2 Nc5 10. c3 d4 11. Ng5 Bd5 12. Nxf7 Kxf7 13. Qf3+ Ke6 14. Ne4 Nxe4 15. Qxe4 Ne7 16. Bg5 Bxb3 17. Qg4+ Kf7 18. axb3 Qd5 19. c4 bxc4 20. bxc4 Qc6 21. f4,Frankly this was the only move I considered since it seemed positionally sound to push the passers ahead. Black has some serious problems to unravel before I play f5-f6 or else he will be losing ... frankly I didn't see how he could do it. If I had appreciated the strength of ...Ng6 then I might have considered grabbing another pawn here with 21.Qxd4.,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. Nbd2 Nc5 10. c3 d4 11. Ng5 Bd5 12. Nxf7 Kxf7 13. Qf3+ Ke6 14. Ne4 Nxe4 15. Qxe4 Ne7 16. Bg5 Bxb3 17. Qg4+ Kf7 18. axb3 Qd5 19. c4 bxc4 20. bxc4 Qc6 21. f4 h6,Black has a well thought out defense. This move gains a tempo because of my 24th move.,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. Nbd2 Nc5 10. c3 d4 11. Ng5 Bd5 12. Nxf7 Kxf7 13. Qf3+ Ke6 14. Ne4 Nxe4 15. Qxe4 Ne7 16. Bg5 Bxb3 17. Qg4+ Kf7 18. axb3 Qd5 19. c4 bxc4 20. bxc4 Qc6 21. f4 h6 22. Bh4 h5 23. Qh3 Ng6,"Nice, intending to meet f4-f5 with ...Nxe5. Qf5+ seems like it ought to be disruptive but it doesn't do anything and gets in the way of my pawns.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. Nbd2 Nc5 10. c3 d4 11. Ng5 Bd5 12. Nxf7 Kxf7 13. Qf3+ Ke6 14. Ne4 Nxe4 15. Qxe4 Ne7 16. Bg5 Bxb3 17. Qg4+ Kf7 18. axb3 Qd5 19. c4 bxc4 20. bxc4 Qc6 21. f4 h6 22. Bh4 h5 23. Qh3 Ng6 24. Bg5 Bc5,"During the game I was more worried about how to get compensation after 24...Be7, and probably justifiably. Although 24...Bc5 seems logical, it is probably a mistake if black cannot find any improvements on the game and 38.Rf5 is as strong as it appears.",True
