moves,comment,good
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7,"Today playing 4.Bc1 before Ng1-f3 is considered an inaccuracy, because of 4...
c5!",True
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5,"Even the great Lasker underestimated the danger of
White's clamp on the queenside. Only 90 years later Black found the right way
to create counterchances, in the game Lerner-Geller: 6...b6 7.b4...",True
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4,"Of course Lasker doesn't wait for the realisation of White's plan. But his
attempt to organize counterplay in the centre plays directly into Steinitz'
hand.",False
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4 7. Nxe4 dxe4 8. Qc2 f5 9. Bc4 Nc6 10. a3,"preventing Nb4-d5, and also keeping the
bishop on an important diagonal after Na5, Ba2.",True
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4 7. Nxe4 dxe4 8. Qc2 f5 9. Bc4 Nc6 10. a3 Bf6 11. O-O-O,"A concrete decision: White's advance on the queenside will be met by e6-e5,
which is why Steinitz changes direction, preparing an attack against the
weakened black centre and potentially on the kingside.",True
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4 7. Nxe4 dxe4 8. Qc2 f5 9. Bc4 Nc6 10. a3 Bf6 11. O-O-O Kh8 12. f3 Qe7 13. Bg3,refusing the pawn sacrifice that would give Black an initiative:,True
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4 7. Nxe4 dxe4 8. Qc2 f5 9. Bc4 Nc6 10. a3 Bf6 11. O-O-O Kh8 12. f3 Qe7 13. Bg3 f4,"Very typical for Lasker - by complicating
dubious positions he won many great games. Now he hoped for 14.Bxf4... #",True
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4 7. Nxe4 dxe4 8. Qc2 f5 9. Bc4 Nc6 10. a3 Bf6 11. O-O-O Kh8 12. f3 Qe7 13. Bg3 f4 14. Qxe4 fxg3 15. hxg3,"White has gained only two pawns for the piece, but his initiative will
encounter no more obstacles.",True
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4 7. Nxe4 dxe4 8. Qc2 f5 9. Bc4 Nc6 10. a3 Bf6 11. O-O-O Kh8 12. f3 Qe7 13. Bg3 f4 14. Qxe4 fxg3 15. hxg3 g6,"Giving up the third pawn Lasker hopes
to use the g-file for defence. After the obvious",True
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4 7. Nxe4 dxe4 8. Qc2 f5 9. Bc4 Nc6 10. a3 Bf6 11. O-O-O Kh8 12. f3 Qe7 13. Bg3 f4 14. Qxe4 fxg3 15. hxg3 g6 16. Qxg6 Bd7 17. f4 Rf7,After this mistake Black's game is finally doomed.,False
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4 7. Nxe4 dxe4 8. Qc2 f5 9. Bc4 Nc6 10. a3 Bf6 11. O-O-O Kh8 12. f3 Qe7 13. Bg3 f4 14. Qxe4 fxg3 15. hxg3 g6 16. Qxg6 Bd7 17. f4 Rf7 18. g4 Rg7,If,True
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4 7. Nxe4 dxe4 8. Qc2 f5 9. Bc4 Nc6 10. a3 Bf6 11. O-O-O Kh8 12. f3 Qe7 13. Bg3 f4 14. Qxe4 fxg3 15. hxg3 g6 16. Qxg6 Bd7 17. f4 Rf7 18. g4 Rg7 19. Qh6 Rxg4 20. Bd3 Rg7 21. Nf3 Qf7 22. g4,The White attack rolls by itself.,False
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4 7. Nxe4 dxe4 8. Qc2 f5 9. Bc4 Nc6 10. a3 Bf6 11. O-O-O Kh8 12. f3 Qe7 13. Bg3 f4 14. Qxe4 fxg3 15. hxg3 g6 16. Qxg6 Bd7 17. f4 Rf7 18. g4 Rg7 19. Qh6 Rxg4 20. Bd3 Rg7 21. Nf3 Qf7 22. g4 Rag8 23. g5 Bd8 24. Rh2,The disaster on h7 is unavoidable. The rest is simply.,True
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Ne4 7. Nxe4 dxe4 8. Qc2 f5 9. Bc4 Nc6 10. a3 Bf6 11. O-O-O Kh8 12. f3 Qe7 13. Bg3 f4 14. Qxe4 fxg3 15. hxg3 g6 16. Qxg6 Bd7 17. f4 Rf7 18. g4 Rg7 19. Qh6 Rxg4 20. Bd3 Rg7 21. Nf3 Qf7 22. g4 Rag8 23. g5 Bd8 24. Rh2 Rg6 25. Qh5 R6g7 26. Rdh1 Qxh5 27. Rxh5 Rf8 28. Rxh7+ Rxh7 29. Rxh7+ Kg8 30. Rxd7 Rf7 31. Bc4,At the end a little joke:,False
