moves,comment,good
1. c4 e5 2. g3,"The move order favoured by Kosten in his ""The Dynamic English""",True
1. c4 e5 2. g3 c6 3. d4,"Now we have a reversed Sicilian 2.c3 where White has the extra move 2.g3 I've
long held the view that 2...Nf6 is Black's best against 2.c3 so maybe I should
have played 3.Nf3here",True
1. c4 e5 2. g3 c6 3. d4 exd4 4. Qxd4 d5 5. cxd5 cxd5 6. Bg2 Be6,Kosten gives only 6.... Nf6,True
1. c4 e5 2. g3 c6 3. d4 exd4 4. Qxd4 d5 5. cxd5 cxd5 6. Bg2 Be6 7. Nf3 Nc6 8. Qa4 Bc5 9. O-O,"Now we have a position similar to that in Tarrasch Defence where Black's easy
development and active pieces compensate for the supposedly weakpawnatd5",True
1. c4 e5 2. g3 c6 3. d4 exd4 4. Qxd4 d5 5. cxd5 cxd5 6. Bg2 Be6 7. Nf3 Nc6 8. Qa4 Bc5 9. O-O h6,Another surprise.,True
1. c4 e5 2. g3 c6 3. d4 exd4 4. Qxd4 d5 5. cxd5 cxd5 6. Bg2 Be6 7. Nf3 Nc6 8. Qa4 Bc5 9. O-O h6 10. Nc3 Ne7,Again unexpected! After his previous I thought he was playing,True
1. c4 e5 2. g3 c6 3. d4 exd4 4. Qxd4 d5 5. cxd5 cxd5 6. Bg2 Be6 7. Nf3 Nc6 8. Qa4 Bc5 9. O-O h6 10. Nc3 Ne7 11. Bf4 a6 12. Rad1 O-O 13. a3 Rc8 14. Ne5,I was reluctant to play this but the alternatives didn't look too good,True
1. c4 e5 2. g3 c6 3. d4 exd4 4. Qxd4 d5 5. cxd5 cxd5 6. Bg2 Be6 7. Nf3 Nc6 8. Qa4 Bc5 9. O-O h6 10. Nc3 Ne7 11. Bf4 a6 12. Rad1 O-O 13. a3 Rc8 14. Ne5 d4 15. Nd3 Ba7 16. Ne4 Nd5 17. Rc1,probably best as,True
1. c4 e5 2. g3 c6 3. d4 exd4 4. Qxd4 d5 5. cxd5 cxd5 6. Bg2 Be6 7. Nf3 Nc6 8. Qa4 Bc5 9. O-O h6 10. Nc3 Ne7 11. Bf4 a6 12. Rad1 O-O 13. a3 Rc8 14. Ne5 d4 15. Nd3 Ba7 16. Ne4 Nd5 17. Rc1 Bg4 18. Rfe1 Nxf4 19. Nxf4 Qe7,protecting c5 Instead,True
1. c4 e5 2. g3 c6 3. d4 exd4 4. Qxd4 d5 5. cxd5 cxd5 6. Bg2 Be6 7. Nf3 Nc6 8. Qa4 Bc5 9. O-O h6 10. Nc3 Ne7 11. Bf4 a6 12. Rad1 O-O 13. a3 Rc8 14. Ne5 d4 15. Nd3 Ba7 16. Ne4 Nd5 17. Rc1 Bg4 18. Rfe1 Nxf4 19. Nxf4 Qe7 20. b4 Rfd8 21. Nd3,seems best as,True
1. c4 e5 2. g3 c6 3. d4 exd4 4. Qxd4 d5 5. cxd5 cxd5 6. Bg2 Be6 7. Nf3 Nc6 8. Qa4 Bc5 9. O-O h6 10. Nc3 Ne7 11. Bf4 a6 12. Rad1 O-O 13. a3 Rc8 14. Ne5 d4 15. Nd3 Ba7 16. Ne4 Nd5 17. Rc1 Bg4 18. Rfe1 Nxf4 19. Nxf4 Qe7 20. b4 Rfd8 21. Nd3 Ne5 22. Nec5,Better than,False
1. c4 e5 2. g3 c6 3. d4 exd4 4. Qxd4 d5 5. cxd5 cxd5 6. Bg2 Be6 7. Nf3 Nc6 8. Qa4 Bc5 9. O-O h6 10. Nc3 Ne7 11. Bf4 a6 12. Rad1 O-O 13. a3 Rc8 14. Ne5 d4 15. Nd3 Ba7 16. Ne4 Nd5 17. Rc1 Bg4 18. Rfe1 Nxf4 19. Nxf4 Qe7 20. b4 Rfd8 21. Nd3 Ne5 22. Nec5 Bxc5 23. bxc5 Nxd3,Now things just fizzle out,True
1. c4 e5 2. g3 c6 3. d4 exd4 4. Qxd4 d5 5. cxd5 cxd5 6. Bg2 Be6 7. Nf3 Nc6 8. Qa4 Bc5 9. O-O h6 10. Nc3 Ne7 11. Bf4 a6 12. Rad1 O-O 13. a3 Rc8 14. Ne5 d4 15. Nd3 Ba7 16. Ne4 Nd5 17. Rc1 Bg4 18. Rfe1 Nxf4 19. Nxf4 Qe7 20. b4 Rfd8 21. Nd3 Ne5 22. Nec5 Bxc5 23. bxc5 Nxd3 24. exd3 Rxc5 25. Qb4 Re8 26. Bxb7 Rxc1 27. Rxc1 Qf6 28. Re1,With a draw offer which was accepted,True
