moves,comment,good
1. e4 c5 2. Nf3 Nc6 3. Bc4 d6,"Your move is a tad unusual but it works.
Typically the King's Bishop often finds its way to c4. Traditionally the idea
is to play 3. d4 cxd4 4. Nxd4 first.",True
1. e4 c5 2. Nf3 Nc6 3. Bc4 d6 4. O-O Be6,"Your opponent errs. The one
thing you must be aware of in the Opening is to grab any and all chances to
wreck your opponents pawn structure. Look at 5. Bxe6 fxe6 6. d4 cxd4 7. Nxd4
Nxd4 8. Qxd4 Nf6 9. f4. This may be my personality but I feel Black has
serious problems organizing anything useful with the shattered pawn structure.
The only redeeming quality is that Black as three center pawns.",True
1. e4 c5 2. Nf3 Nc6 3. Bc4 d6 4. O-O Be6 5. d3 Bxc4 6. dxc4 Nf6 7. Re1 g6 8. Bf4 Bg7,"Remember to play with a plan! The last few
moves are setting up a nice attack but do you understand what you are trying?
Often we hear the mantra to develop, so we develop and miss the point behind
why we are making the move. The idea of the opening is to create an
""imbalance"" [any difference in the position] - especially in minor piece
position - and develop around it. One idea of developing the Bishop to f4 is
to play h3 to give the Bishop a safe haven while keeping the Knight at bay.
BTW the pawns at e4 and c4 are considered a strong strategy against the
Sicilian.",True
1. e4 c5 2. Nf3 Nc6 3. Bc4 d6 4. O-O Be6 5. d3 Bxc4 6. dxc4 Nf6 7. Re1 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Rb1 Ng4,"Here you have to look at playing 10. Qd2
with the idea of playing Bh6 to rid the game of the Dragon Bishop. Also
tempting is to blast the center with 10. e5!",True
1. e4 c5 2. Nf3 Nc6 3. Bc4 d6 4. O-O Be6 5. d3 Bxc4 6. dxc4 Nf6 7. Re1 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Rb1 Ng4 11. Nd5 Qa5,It always helps when your opponent misses a solid move. /\Nge5,True
1. e4 c5 2. Nf3 Nc6 3. Bc4 d6 4. O-O Be6 5. d3 Bxc4 6. dxc4 Nf6 7. Re1 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Rb1 Ng4 11. Nd5 Qa5 12. h3 Nf6 13. e5 Nh5,"It looks like your move loses a pawn but it is a gutsy idea. The
aggressiveness of your play will help you as you learn the various tactical
possibilities of a position. One suggestion is to concentrate on pattern
recognition. Learn the various patterns behind combinations. There are
probably only about 20 common ones.",True
1. e4 c5 2. Nf3 Nc6 3. Bc4 d6 4. O-O Be6 5. d3 Bxc4 6. dxc4 Nf6 7. Re1 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Rb1 Ng4 11. Nd5 Qa5 12. h3 Nf6 13. e5 Nh5 14. Bg5 Qxa2,"Ouch. Black begs White to
finish the game in a clean stroke. There is an ""urban legend"" that tells of a
rich guy that left his son a vast fortune on the condition that he would never
play Qxa2 even if it were the correct move. 14/\dxe4 or 14/\f6 was necessary
to hold the balance.",True
1. e4 c5 2. Nf3 Nc6 3. Bc4 d6 4. O-O Be6 5. d3 Bxc4 6. dxc4 Nf6 7. Re1 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Rb1 Ng4 11. Nd5 Qa5 12. h3 Nf6 13. e5 Nh5 14. Bg5 Qxa2 15. Nxe7+ Nxe7 16. Bxe7 Rfc8 17. b3 dxe5,"I find in my
lost games that I generally had a ""big miss."" Well, this one is yours. After
17. exd6 the game is over, you can hear the ""fat lady warming up."" The pawn on
d6 moves to d7 and completely chokes Black's middle. The Black Rooks become
totally useless and you own all the important squares. All this is helped by
the useless placement of the Black Queen. Even 17. Ng5 does close to mortal
damage to Black threatening both 18. exd6 and 18. Qd5.",True
1. e4 c5 2. Nf3 Nc6 3. Bc4 d6 4. O-O Be6 5. d3 Bxc4 6. dxc4 Nf6 7. Re1 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Rb1 Ng4 11. Nd5 Qa5 12. h3 Nf6 13. e5 Nh5 14. Bg5 Qxa2 15. Nxe7+ Nxe7 16. Bxe7 Rfc8 17. b3 dxe5 18. Nxe5 Nf4 19. Re4 Re8,"Please, do not help your opponent! Remember, never force your opponent to
do something you will regret. 19. Qc1! Attacks the Knight on f4, if that is
what you want, and holds the back line down nicely. One thing you must learn
is when a threat is real and when it is not. The ideal is to ignore your
opponent's threats and execute your own. To do this you must learn to
distinguish between the real and the imagined.",True
1. e4 c5 2. Nf3 Nc6 3. Bc4 d6 4. O-O Be6 5. d3 Bxc4 6. dxc4 Nf6 7. Re1 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Rb1 Ng4 11. Nd5 Qa5 12. h3 Nf6 13. e5 Nh5 14. Bg5 Qxa2 15. Nxe7+ Nxe7 16. Bxe7 Rfc8 17. b3 dxe5 18. Nxe5 Nf4 19. Re4 Re8 20. Nd3 Nxd3 21. Re2 Nf4,"21. cxd3 was necessary. It is ugly but playable. It's better than what
happened. White is saddled with two ""backward"" pawns - on d3 and on b3. I'd
call this a positional nightmare, but against a weak opponent you will have an
interesting fight on your hands. The squares in front of them are called
""holes"" where Black will plant a piece. This is called a ""blockade."" The
strength of a blockade is that the pawn is immobile. In chess, if it doesn't
[or can't] move it will suffer violence. Keep your position as flexible as
possible while coaxing your opponent into making his as ridged as possible.
Another strength of the blockade is that it is a base of operation against the
opponent. The blockader can not be attacked through the weak pawn.",True
