moves,comment,good
1. d4 d5 2. Nf3 c5 3. e3 Nc6 4. b3 e6 5. Bb2 Nf6 6. Nbd2 cxd4 7. exd4,"From ""My Chess Career"", I report Capablanca's comment: << ... I remember I
played 1.d4 because that way Corzo could not take too much advantage from my
weakness in the opening.>>",False
1. d4 d5 2. Nf3 c5 3. e3 Nc6 4. b3 e6 5. Bb2 Nf6 6. Nbd2 cxd4 7. exd4 Bd6 8. Bd3 O-O 9. O-O Nh5 10. g3 f5 11. Ne5 Nf6 12. f4 Bxe5 13. fxe5 Ng4 14. Qe2 Qb6 15. Nf3 Bd7 16. a3,To prevent Nb4 ... (Capablanca).,True
1. d4 d5 2. Nf3 c5 3. e3 Nc6 4. b3 e6 5. Bb2 Nf6 6. Nbd2 cxd4 7. exd4 Bd6 8. Bd3 O-O 9. O-O Nh5 10. g3 f5 11. Ne5 Nf6 12. f4 Bxe5 13. fxe5 Ng4 14. Qe2 Qb6 15. Nf3 Bd7 16. a3 Kh8 17. h3 Nh6 18. Qf2 Nf7 19. Kg2 g5 20. g4 Ne7 21. Qe3 Rg8 22. Rae1 Ng6 23. gxf5 Nf4+ 24. Kh2 Nxd3 25. Qxd3,"For the Master, one of the most difficult task is to build a position which
allows him to switch to the attack. Probably today I would have done better,
but - after all I did not play badly and indeed I invented a rather brilliant
combination. (Capablanca)",True
1. d4 d5 2. Nf3 c5 3. e3 Nc6 4. b3 e6 5. Bb2 Nf6 6. Nbd2 cxd4 7. exd4 Bd6 8. Bd3 O-O 9. O-O Nh5 10. g3 f5 11. Ne5 Nf6 12. f4 Bxe5 13. fxe5 Ng4 14. Qe2 Qb6 15. Nf3 Bd7 16. a3 Kh8 17. h3 Nh6 18. Qf2 Nf7 19. Kg2 g5 20. g4 Ne7 21. Qe3 Rg8 22. Rae1 Ng6 23. gxf5 Nf4+ 24. Kh2 Nxd3 25. Qxd3 exf5 26. c4 Qe6 27. cxd5 Qxd5 28. e6 Bb5 29. Qxb5,Almost certainly today I would have played,True
1. d4 d5 2. Nf3 c5 3. e3 Nc6 4. b3 e6 5. Bb2 Nf6 6. Nbd2 cxd4 7. exd4 Bd6 8. Bd3 O-O 9. O-O Nh5 10. g3 f5 11. Ne5 Nf6 12. f4 Bxe5 13. fxe5 Ng4 14. Qe2 Qb6 15. Nf3 Bd7 16. a3 Kh8 17. h3 Nh6 18. Qf2 Nf7 19. Kg2 g5 20. g4 Ne7 21. Qe3 Rg8 22. Rae1 Ng6 23. gxf5 Nf4+ 24. Kh2 Nxd3 25. Qxd3 exf5 26. c4 Qe6 27. cxd5 Qxd5 28. e6 Bb5 29. Qxb5 Qxb5 30. d5+ Rg7 31. exf7 h6 32. Nd4 Qxf1 33. Rxf1 Rxf7 34. Rxf5 Rxf5 35. Nxf5+ Kh7 36. Ne7,"Capablanca's skill is
remarkable. At 12 years he already user the ""Knight+Bishop barrier"" to
imprison the enemy King (with the last move g8, g7, g6 are inhibited to Kh7).",True
1. d4 d5 2. Nf3 c5 3. e3 Nc6 4. b3 e6 5. Bb2 Nf6 6. Nbd2 cxd4 7. exd4 Bd6 8. Bd3 O-O 9. O-O Nh5 10. g3 f5 11. Ne5 Nf6 12. f4 Bxe5 13. fxe5 Ng4 14. Qe2 Qb6 15. Nf3 Bd7 16. a3 Kh8 17. h3 Nh6 18. Qf2 Nf7 19. Kg2 g5 20. g4 Ne7 21. Qe3 Rg8 22. Rae1 Ng6 23. gxf5 Nf4+ 24. Kh2 Nxd3 25. Qxd3 exf5 26. c4 Qe6 27. cxd5 Qxd5 28. e6 Bb5 29. Qxb5 Qxb5 30. d5+ Rg7 31. exf7 h6 32. Nd4 Qxf1 33. Rxf1 Rxf7 34. Rxf5 Rxf5 35. Nxf5+ Kh7 36. Ne7 Rf8 37. Kg2 h5 38. d6 g4 39. hxg4 hxg4 40. Be5,"All at the center, the threat is d7 and Bc7.",True
1. d4 d5 2. Nf3 c5 3. e3 Nc6 4. b3 e6 5. Bb2 Nf6 6. Nbd2 cxd4 7. exd4 Bd6 8. Bd3 O-O 9. O-O Nh5 10. g3 f5 11. Ne5 Nf6 12. f4 Bxe5 13. fxe5 Ng4 14. Qe2 Qb6 15. Nf3 Bd7 16. a3 Kh8 17. h3 Nh6 18. Qf2 Nf7 19. Kg2 g5 20. g4 Ne7 21. Qe3 Rg8 22. Rae1 Ng6 23. gxf5 Nf4+ 24. Kh2 Nxd3 25. Qxd3 exf5 26. c4 Qe6 27. cxd5 Qxd5 28. e6 Bb5 29. Qxb5 Qxb5 30. d5+ Rg7 31. exf7 h6 32. Nd4 Qxf1 33. Rxf1 Rxf7 34. Rxf5 Rxf5 35. Nxf5+ Kh7 36. Ne7 Rf8 37. Kg2 h5 38. d6 g4 39. hxg4 hxg4 40. Be5 Kh6 41. d7 Rd8 42. Ng8+ Rxg8 43. Bf6 Kg6 44. d8=Q Rxd8 45. Bxd8 b5 46. Kf2 Kf5 47. Ke3 Ke5 48. Kd3 Kd5 49. Kc3 g3 50. Bh4 g2 51. Bf2 a5 52. b4 Ke5,"Cunningly Black expects bxa5? which would draw because the promoting square a8
is white and ... ""we all"" know that White cannot win anymore afterKe5-d6-c6-b7-
a8 leaving the Pb5 too to the greedy opponent. White, instead, wins easily by
keeping the pawn on the b file.",False
1. d4 d5 2. Nf3 c5 3. e3 Nc6 4. b3 e6 5. Bb2 Nf6 6. Nbd2 cxd4 7. exd4 Bd6 8. Bd3 O-O 9. O-O Nh5 10. g3 f5 11. Ne5 Nf6 12. f4 Bxe5 13. fxe5 Ng4 14. Qe2 Qb6 15. Nf3 Bd7 16. a3 Kh8 17. h3 Nh6 18. Qf2 Nf7 19. Kg2 g5 20. g4 Ne7 21. Qe3 Rg8 22. Rae1 Ng6 23. gxf5 Nf4+ 24. Kh2 Nxd3 25. Qxd3 exf5 26. c4 Qe6 27. cxd5 Qxd5 28. e6 Bb5 29. Qxb5 Qxb5 30. d5+ Rg7 31. exf7 h6 32. Nd4 Qxf1 33. Rxf1 Rxf7 34. Rxf5 Rxf5 35. Nxf5+ Kh7 36. Ne7 Rf8 37. Kg2 h5 38. d6 g4 39. hxg4 hxg4 40. Be5 Kh6 41. d7 Rd8 42. Ng8+ Rxg8 43. Bf6 Kg6 44. d8=Q Rxd8 45. Bxd8 b5 46. Kf2 Kf5 47. Ke3 Ke5 48. Kd3 Kd5 49. Kc3 g3 50. Bh4 g2 51. Bf2 a5 52. b4 Ke5 53. Bb6 Kd5 54. Kd3 Kc6 55. Bg1 Kd5 56. Bh2,The decisive move which forces the Black King to withdraw.,True
1. d4 d5 2. Nf3 c5 3. e3 Nc6 4. b3 e6 5. Bb2 Nf6 6. Nbd2 cxd4 7. exd4 Bd6 8. Bd3 O-O 9. O-O Nh5 10. g3 f5 11. Ne5 Nf6 12. f4 Bxe5 13. fxe5 Ng4 14. Qe2 Qb6 15. Nf3 Bd7 16. a3 Kh8 17. h3 Nh6 18. Qf2 Nf7 19. Kg2 g5 20. g4 Ne7 21. Qe3 Rg8 22. Rae1 Ng6 23. gxf5 Nf4+ 24. Kh2 Nxd3 25. Qxd3 exf5 26. c4 Qe6 27. cxd5 Qxd5 28. e6 Bb5 29. Qxb5 Qxb5 30. d5+ Rg7 31. exf7 h6 32. Nd4 Qxf1 33. Rxf1 Rxf7 34. Rxf5 Rxf5 35. Nxf5+ Kh7 36. Ne7 Rf8 37. Kg2 h5 38. d6 g4 39. hxg4 hxg4 40. Be5 Kh6 41. d7 Rd8 42. Ng8+ Rxg8 43. Bf6 Kg6 44. d8=Q Rxd8 45. Bxd8 b5 46. Kf2 Kf5 47. Ke3 Ke5 48. Kd3 Kd5 49. Kc3 g3 50. Bh4 g2 51. Bf2 a5 52. b4 Ke5 53. Bb6 Kd5 54. Kd3 Kc6 55. Bg1 Kd5 56. Bh2 Kc6 57. Kd4 a4 58. Ke5,"The ""limit"" (the Pb5 rank) is crossed, and with it the last
defense.... or maybe the next to the last, as we shall see.",True
1. d4 d5 2. Nf3 c5 3. e3 Nc6 4. b3 e6 5. Bb2 Nf6 6. Nbd2 cxd4 7. exd4 Bd6 8. Bd3 O-O 9. O-O Nh5 10. g3 f5 11. Ne5 Nf6 12. f4 Bxe5 13. fxe5 Ng4 14. Qe2 Qb6 15. Nf3 Bd7 16. a3 Kh8 17. h3 Nh6 18. Qf2 Nf7 19. Kg2 g5 20. g4 Ne7 21. Qe3 Rg8 22. Rae1 Ng6 23. gxf5 Nf4+ 24. Kh2 Nxd3 25. Qxd3 exf5 26. c4 Qe6 27. cxd5 Qxd5 28. e6 Bb5 29. Qxb5 Qxb5 30. d5+ Rg7 31. exf7 h6 32. Nd4 Qxf1 33. Rxf1 Rxf7 34. Rxf5 Rxf5 35. Nxf5+ Kh7 36. Ne7 Rf8 37. Kg2 h5 38. d6 g4 39. hxg4 hxg4 40. Be5 Kh6 41. d7 Rd8 42. Ng8+ Rxg8 43. Bf6 Kg6 44. d8=Q Rxd8 45. Bxd8 b5 46. Kf2 Kf5 47. Ke3 Ke5 48. Kd3 Kd5 49. Kc3 g3 50. Bh4 g2 51. Bf2 a5 52. b4 Ke5 53. Bb6 Kd5 54. Kd3 Kc6 55. Bg1 Kd5 56. Bh2 Kc6 57. Kd4 a4 58. Ke5 Kb6 59. Kd5 Ka6 60. Kc5,in case of,False
