moves,comment,good
1. e4 c5 2. Nf3 d6 3. Bb5+,"Moscow Variation -- After this White will either establish a white square pawn formation (Pc4, Pe4) to replace the effect of the bishop (to the extent they can) or aim for c2-c3, d2-d4 and possibly d4-d5 or e4-e5. The move also works to enable O-O quickly. 3. Bc4 is interesting and has been played recently, but 3. d4 is still the most common move.",False
1. e4 c5 2. Nf3 d6 3. Bb5+ Nc6,"This is unusual, but not necessarily bad. If White captures Nc6 Black can recapture ...b7xc6 and have better central control. Perhaps Polgar is trying to take Kasparov out of familiar territory.",True
1. e4 c5 2. Nf3 d6 3. Bb5+ Nc6 4. Bxc6+ bxc6 5. O-O e5,"This makes Bf8 bad and doesn't prevent White from playing c2-c3, d2-d4 to open the center.",True
1. e4 c5 2. Nf3 d6 3. Bb5+ Nc6 4. Bxc6+ bxc6 5. O-O e5 6. c3,Already Black faces a crisis since White is better developed and Ke8 might soon be exposed.,True
1. e4 c5 2. Nf3 d6 3. Bb5+ Nc6 4. Bxc6+ bxc6 5. O-O e5 6. c3 g5,"This could be the move of a complete amateur or of a great player such as Ivanchuk, but it seems out of place and unusual, for Polgar. This may be a small indication of an internal struggle wherein she tries to expand her approach, hopefully for the better. In this case I think it just fails.",True
1. e4 c5 2. Nf3 d6 3. Bb5+ Nc6 4. Bxc6+ bxc6 5. O-O e5 6. c3 g5 7. d4,Opening the center is more important than the pawn he appears to be gambitting.,True
1. e4 c5 2. Nf3 d6 3. Bb5+ Nc6 4. Bxc6+ bxc6 5. O-O e5 6. c3 g5 7. d4 g4 8. Nfd2 cxd4 9. cxd4 exd4 10. Nc4,"practically begging for ...d6-d5, so he can open the e-file with exd5",True
1. e4 c5 2. Nf3 d6 3. Bb5+ Nc6 4. Bxc6+ bxc6 5. O-O e5 6. c3 g5 7. d4 g4 8. Nfd2 cxd4 9. cxd4 exd4 10. Nc4 c5 11. Re1,quite likely planning 12. e5 d5 13. Nd6+,True
1. e4 c5 2. Nf3 d6 3. Bb5+ Nc6 4. Bxc6+ bxc6 5. O-O e5 6. c3 g5 7. d4 g4 8. Nfd2 cxd4 9. cxd4 exd4 10. Nc4 c5 11. Re1 Be6 12. Nba3 Be7,"Developing this piece to this square is usually normal, but in this case it's very strange. It helps keep the e-file blocked, but how are the king-side pieces to be developed and used? I'm not certain what Black's plan might be.",True
1. e4 c5 2. Nf3 d6 3. Bb5+ Nc6 4. Bxc6+ bxc6 5. O-O e5 6. c3 g5 7. d4 g4 8. Nfd2 cxd4 9. cxd4 exd4 10. Nc4 c5 11. Re1 Be6 12. Nba3 Be7 13. e5 d5 14. Nd6+ Kf8,"This position doesn't look too good for Black, but Na3 is misplaced and Nd6 is far from coordinating with other White pieces.",True
1. e4 c5 2. Nf3 d6 3. Bb5+ Nc6 4. Bxc6+ bxc6 5. O-O e5 6. c3 g5 7. d4 g4 8. Nfd2 cxd4 9. cxd4 exd4 10. Nc4 c5 11. Re1 Be6 12. Nba3 Be7 13. e5 d5 14. Nd6+ Kf8 15. Bf4,"Kasparov just holds onto Nd6 and keeps an eye on how Black is going to proceed, looking for ways to gain advantage.",False
