moves,comment,good
1. e4,This often leads to open games with tactical possibilities.,True
1. e4 e5 2. f4,The King's Gambit. White sacrifices a pawn for control of the center square d4 and the possibility of his King's rook becoming active on the f file.,True
1. e4 e5 2. f4 exf4 3. Bc4,This variation is called the Bishop's Gambit. White should not play 3. d4 because then 3... Qh4+ is good for Black since White would have to play 4. Ke2. A common move for White is 3. Nf3.,True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+,This looks threatening but actually is not the best move. Better are 3... d5 giving back the pawn and 3... Nf6.,True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1,"The king is more securely placed here than it appears, and White can gain an important tempo by attacking the Black queen with Nf3.",True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5,A counter sacrifice to gain time and development. This move is not looked upon favorably nowadays.,False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6,Developing and attacking the pawn on e4.,True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6,"The queen would have been better placed on h5, but Black plans to move his knight to h5.",False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3,Guarding the pawn and opening lines for the bishop.,False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3 Nh5,Threatening 8... Ng3+ 9. hxg3 Qxh1+.,True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3 Nh5 8. Nh4,Stopping the threat and preparing to put the knight on f5 where it will be powerfully placed.,False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3 Nh5 8. Nh4 Qg5 9. Nf5 c6,If now 10. Ba4 then 10... d5 gives Black a satisfactory game.,True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3 Nh5 8. Nh4 Qg5 9. Nf5 c6 10. Rg1,A splendid piece sacrifice.,True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3 Nh5 8. Nh4 Qg5 9. Nf5 c6 10. Rg1 cxb5 11. g4,Black cannot play 11... fxg3 en passant because of 12. Bxg5.,False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3 Nh5 8. Nh4 Qg5 9. Nf5 c6 10. Rg1 cxb5 11. g4 Nf6 12. h4 Qg6 13. h5 Qg5 14. Qf3,Threatening 15. Bxf4 trapping the queen. The bottled up position of the Black queen is amusing.,True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3 Nh5 8. Nh4 Qg5 9. Nf5 c6 10. Rg1 cxb5 11. g4 Nf6 12. h4 Qg6 13. h5 Qg5 14. Qf3 Ng8,To save the queen.,False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3 Nh5 8. Nh4 Qg5 9. Nf5 c6 10. Rg1 cxb5 11. g4 Nf6 12. h4 Qg6 13. h5 Qg5 14. Qf3 Ng8 15. Bxf4 Qf6 16. Nc3,"White now has an enormous lead in development, definitely worth more than a piece.",True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3 Nh5 8. Nh4 Qg5 9. Nf5 c6 10. Rg1 cxb5 11. g4 Nf6 12. h4 Qg6 13. h5 Qg5 14. Qf3 Ng8 15. Bxf4 Qf6 16. Nc3 Bc5 17. Nd5,The beginning of an extraordinary run of brilliant sacrifices.,False
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3 Nh5 8. Nh4 Qg5 9. Nf5 c6 10. Rg1 cxb5 11. g4 Nf6 12. h4 Qg6 13. h5 Qg5 14. Qf3 Ng8 15. Bxf4 Qf6 16. Nc3 Bc5 17. Nd5 Qxb2,Threatening 18... Qxa1+.,True
1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5 5. Bxb5 Nf6 6. Nf3 Qh6 7. d3 Nh5 8. Nh4 Qg5 9. Nf5 c6 10. Rg1 cxb5 11. g4 Nf6 12. h4 Qg6 13. h5 Qg5 14. Qf3 Ng8 15. Bxf4 Qf6 16. Nc3 Bc5 17. Nd5 Qxb2 18. Bd6,If now 18... Qxa1+ then 19. Ke2 Bxg1 20. e5 $3 reaches the same position as in the game.,True
