moves,comment,good
1. e4 c5,"Playing Adams in this tournament has been something akin to walking through a minefield. If Kasparov can get through unscathed he'll stay in the lead and get to the climactic matchup with Ponomariov in the next game. But, if he should lose he'll be the underdog in that big matchup. Adams or Shirov in the last round, could act as spoilers, but the fight is between Kasparov and Ponomariov.",False
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e6 7. Qf3,"Wow, now this is something interesting. I've seen a New In Chess magazine theoretical article on 6. Qf3 and played 6. Bg5 e6 7. Qf3, but I've never seen it played after 6. Be3. The idea is usually to allow O-O-O without having Qd2 blocking the d-file and to be able to meet ...e6-e5 with Nd4-f5 (and possibly ...g7-g6 with Nf5-e3, so putting Be3 seems odd. It's weakness is that it blocks Pf2 from immediately moving to f4, so that means Black can use square e5 or at least he doesn't have to worry much about e4-e5.",True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e6 7. Qf3 Nbd7 8. Be2,preparing g2-g4-g5,True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e6 7. Qf3 Nbd7 8. Be2 h5,"Yes, it prevents g2-g4, but what does Ke8 have to say about it? Does he feel safer now? I think Adams would be happy to have another weakness he can play against, without having extended his own position; just so he doesn't lose Qf3 because of it's exposure.",True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e6 7. Qf3 Nbd7 8. Be2 h5 9. Bg5 Qa5,threat: ...Qa5xg5 and possibly in some cases ...Nf6xe4,False
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e6 7. Qf3 Nbd7 8. Be2 h5 9. Bg5 Qa5 10. Bd2,Apparently he's willing to go to some length to not create any weaknesses Kasparov might utilize/exploit.,False
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e6 7. Qf3 Nbd7 8. Be2 h5 9. Bg5 Qa5 10. Bd2 Qb6 11. Nb3 Qc7,It would appear Black wants to play ...Nd7-e5-c4 or ...b7-b5 and ...Bc8-b7.,True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e6 7. Qf3 Nbd7 8. Be2 h5 9. Bg5 Qa5 10. Bd2 Qb6 11. Nb3 Qc7 12. a4,"This move is slightly effective. It prevents ...b7-b5, so that after ...b7-b6 Pa6 will still need a defender. It also indicates White won't be castling to the queen-side and if he goes king-side one has to ask, ""Is Qf3 well placed?""",True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e6 7. Qf3 Nbd7 8. Be2 h5 9. Bg5 Qa5 10. Bd2 Qb6 11. Nb3 Qc7 12. a4 b6 13. Bg5,"In many instances this freezes Nd7 as defender of Nf6. But, Black could spend a tempo on ...Bf8-e7 to take over that duty.",True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e6 7. Qf3 Nbd7 8. Be2 h5 9. Bg5 Qa5 10. Bd2 Qb6 11. Nb3 Qc7 12. a4 b6 13. Bg5 Bb7 14. Rd1 Be7 15. Qe3,"Adams is slowly rearranging his pieces to suit his needs in regard to playing against the slightly odd Black position. He might yet O-O and play f2-f4, but he is wisely repositioning his queen to prevent ...Nd7-c5 from being effective. Of course, that doesn't prevent ...Nd7-e5-c4.",True
