moves,comment,good
1. d4 Nf6 2. Nf3,"This could be just a move-order trick, or a signal that white is going to play one of the systems without c2-c4, for example the Torre (3.Bg5) or the Zukertort (3.e3, 4. Bd3, 5. b3,...). As a generality, if white is just going to play c4 later, I think this move loses more flexibility than it gains.  However, once you know your own and your opponent's repertoire this may not be the case. For example black cannot get a Benko proper now if white doesn't want to co-operate. This may have been what black had in mind, because he isn't happy to let white transpose to one of various standard openings, so the game goes down a relatively original path.",True
1. d4 Nf6 2. Nf3 c5 3. d5 b5,"Bravo! This is the ""I'm not going to let you get back into a normal opening"" move.",True
1. d4 Nf6 2. Nf3 c5 3. d5 b5 4. Bg5 Ne4 5. Bf4 Bb7 6. a4 Qa5+,"A thematic looking idea which doesn't work, but Hebden's continuation was not so easy to foresee. It takes a lot of courage to explore these variations that are off the beaten track, and for that Degraeve gets my respect. I remember annotating some of my own games a couple years ago that reached distinctly messy positions, and it was incredible to me how many mistakes and outright blunders were made in such games. Even 450 points up the rating ladder, I suspect that it isn't easy.",False
1. d4 Nf6 2. Nf3 c5 3. d5 b5 4. Bg5 Ne4 5. Bf4 Bb7 6. a4 Qa5+ 7. Nbd2 Bxd5 8. axb5 Qd8 9. Ra4,"This is the sting. Without this move, black is behind in development, but had good prospects with a grip on the center, and a better pawn structure. Now he is losing the fight in the center, coming under pressure on the queenside, falls further begind in development (e4 hitting the bishop), and is fighting to stay alive.",True
1. d4 Nf6 2. Nf3 c5 3. d5 b5 4. Bg5 Ne4 5. Bf4 Bb7 6. a4 Qa5+ 7. Nbd2 Bxd5 8. axb5 Qd8 9. Ra4 Nxd2 10. Nxd2 d6 11. e4 Bb7 12. Qa1,"There is no way to defend a7, so white has a big advantage after only 12 moves. Impressive, but now black digs in.",True
1. d4 Nf6 2. Nf3 c5 3. d5 b5 4. Bg5 Ne4 5. Bf4 Bb7 6. a4 Qa5+ 7. Nbd2 Bxd5 8. axb5 Qd8 9. Ra4 Nxd2 10. Nxd2 d6 11. e4 Bb7 12. Qa1 e5 13. Bg5,"A very nice shot, but 13. Be3 was also strong, when there remains nothing for black to do to avoid 14. Rxa7.",True
1. d4 Nf6 2. Nf3 c5 3. d5 b5 4. Bg5 Ne4 5. Bf4 Bb7 6. a4 Qa5+ 7. Nbd2 Bxd5 8. axb5 Qd8 9. Ra4 Nxd2 10. Nxd2 d6 11. e4 Bb7 12. Qa1 e5 13. Bg5 Be7 14. Bxe7 Kxe7,"Both sides splay some originality this game. In this case it all comes to a disappointment for black, but 14...Kxe7, increasing co-ordination along the back rank, is nonetheless a nice motif to remember. 14...Qxe7 15.Rxa7 was simply losing, but now he is ready to meet 15.Rxa7 with 15...Nd7 and 16...Nb6.  Of course white is still much better here and black doesn't have any active compensation for the pawn, but the extra pawn is on the queenside where black has a sturdy blockade, and he just might be able to hold.",False
1. d4 Nf6 2. Nf3 c5 3. d5 b5 4. Bg5 Ne4 5. Bf4 Bb7 6. a4 Qa5+ 7. Nbd2 Bxd5 8. axb5 Qd8 9. Ra4 Nxd2 10. Nxd2 d6 11. e4 Bb7 12. Qa1 e5 13. Bg5 Be7 14. Bxe7 Kxe7 15. Bd3 Nd7 16. O-O,"An interesting moment, which brings up the point that it doesn't always pay to be super-sophisticated. Instead of taking the pawn, white prefers to triple pieces on the a-file and simply maintain the pressure. In some ways leaving black's pawn on the board doesn't make his position any easier to play, but I wonder nonetheless, did Hebden just assume he could triple pieces and pick up the a7-pawn at his leisure? It turns out this isn't the case.",True
1. d4 Nf6 2. Nf3 c5 3. d5 b5 4. Bg5 Ne4 5. Bf4 Bb7 6. a4 Qa5+ 7. Nbd2 Bxd5 8. axb5 Qd8 9. Ra4 Nxd2 10. Nxd2 d6 11. e4 Bb7 12. Qa1 e5 13. Bg5 Be7 14. Bxe7 Kxe7 15. Bd3 Nd7 16. O-O Qb8 17. Qa2 Nb6 18. Ra5 Qc7 19. Ra1 Rhd8 20. Bc4,"It isn't possible for white to just win the pawn, for tactical reasons. Therefore he uses his pressure to regroup.",True
1. d4 Nf6 2. Nf3 c5 3. d5 b5 4. Bg5 Ne4 5. Bf4 Bb7 6. a4 Qa5+ 7. Nbd2 Bxd5 8. axb5 Qd8 9. Ra4 Nxd2 10. Nxd2 d6 11. e4 Bb7 12. Qa1 e5 13. Bg5 Be7 14. Bxe7 Kxe7 15. Bd3 Nd7 16. O-O Qb8 17. Qa2 Nb6 18. Ra5 Qc7 19. Ra1 Rhd8 20. Bc4 Kf8 21. c3,"The purpose of this move is not so easy to guess, even after you have seen it. What do you think?",False
