moves,comment,good
1. c4,The English Opening.,False
1. c4 e5 2. Nc3 Nc6 3. Nf3 f5,"The 3 Knights
Variation of the English Opening is a good system to use against Fritz. The
positions are closed in nature and there are very few forcing lines allowing
Kramnik to adjust his play to take advantage of the computer's weaknesses.",True
1. c4 e5 2. Nc3 Nc6 3. Nf3 f5 4. d4 e4 5. Ng5 Bb4,"This continues to develop while not committing himself to
a specific line of play. For instance Fritz might play a known sac after 5...
Nf6 6. e3 h6 7. Nh3 g5 8. f3 exf3 9. Qxf3!? when play is very sharp, something
not to Kramnik's advantage. 9...g4?! is suicide in that line so after 9...d6
10. Nf2 Qe7 11. Nd5 (sacrificing a pawn) Nxd5 12. cxd5 Nb4 13. Bb5+ Kd8 14.
0-0 g4 15. Qe2 Nxd5 16. Nh1 and Fritz would have good compensation in a highly
tactical position. The text is much quieter and better suited to a human vs.
machine match.",True
1. c4 e5 2. Nc3 Nc6 3. Nf3 f5 4. d4 e4 5. Ng5 Bb4 6. Nh3 Nf6 7. e3 Bxc3+ 8. bxc3,"Now white has two bishops. The
problem is the position is very closed in nature, so the bishops will have
little effect if the position isn't opened up. Kramnik should be very happy
after this exchange as his knights could become very active.",True
1. c4 e5 2. Nc3 Nc6 3. Nf3 f5 4. d4 e4 5. Ng5 Bb4 6. Nh3 Nf6 7. e3 Bxc3+ 8. bxc3 d6 9. Nf4 O-O 10. h4,"Kramnik mentioned that all the moves up to here were played by the program
very quickly, meaning most of this is probably theory in the Fritz opening
book. Here we should take stock. Fritz just played a good move (10. h4)
securing his f4 knight by preventing the natural g5 advance by black. However,
the f4 knight seems like white's only trump. The pawns on c3 an c4 are weak,
black has the two knights in a closed position, and white's king is in the
center while black's is in safety. However, the c4 pawn has the useful
function of keeping the knight out of d5 while the c3 fellow solidifies d4.
White has a solid position, but unless the bishops can be unleashed, black
will have a slight advantage.",True
1. c4 e5 2. Nc3 Nc6 3. Nf3 f5 4. d4 e4 5. Ng5 Bb4 6. Nh3 Nf6 7. e3 Bxc3+ 8. bxc3 d6 9. Nf4 O-O 10. h4 Qe7,"Kramnik should leave e7 for the knight.
I suggest 10...Qe8 or 10...Ne7. The Qe8-f7 maneuver is very useful as it eyes
h5 and c4. 10...Ne7 allows black to play the prophylactic c5 to prevent the
freeing c5 move for white. For instance 10...Ne7 11. h5 c5! 12. Ba3 Qa5 etc.
and black has a ""very"" comfortable game though both Ng6 and Nh5 exchanging off
f4 is prevented. Or if 10...Qe8!? 11. Ba3 Qf7 12. h5 b6 and if white plays the
dubious 13. c5?! anyway, then 13...bxc5 14. dxc5 d5! and the black bishop is
shut in and black has the superior center and now the e5 square. After
Kramnik's 10...Qe7 move Fritz can free himself.",True
1. c4 e5 2. Nc3 Nc6 3. Nf3 f5 4. d4 e4 5. Ng5 Bb4 6. Nh3 Nf6 7. e3 Bxc3+ 8. bxc3 d6 9. Nf4 O-O 10. h4 Qe7 11. c5,"One might think 11.
h5 to be enough to secure the knight at f4 and thus the game in general, but
Fritz wants to trade off one of its weak pawns while trying to open the
position for his two bishops. The a2-g8 diagonal is now open for the bishop or
queen.",True
1. c4 e5 2. Nc3 Nc6 3. Nf3 f5 4. d4 e4 5. Ng5 Bb4 6. Nh3 Nf6 7. e3 Bxc3+ 8. bxc3 d6 9. Nf4 O-O 10. h4 Qe7 11. c5 Nd8,"Very nice! Let's examine the alternatives. The greedy, 11...
dxc5? (opening the position willingly!) 12. Bc4+ Kh8 13. h5! and white can
open the h-file decisively for instance if the natural 13...cxd4?? then 14.
Ng6+! hxg6 15. hxg6+ Nh7 16. Rxh7 Checkmate! If 11...d5 then 12. c4 simply and
white has the better of it. 11...Kh8 was a reasonable alternative too, but the
sacrifice with the text is probably the best defense against a computer who
can't resist accepting!",True
1. c4 e5 2. Nc3 Nc6 3. Nf3 f5 4. d4 e4 5. Ng5 Bb4 6. Nh3 Nf6 7. e3 Bxc3+ 8. bxc3 d6 9. Nf4 O-O 10. h4 Qe7 11. c5 Nd8 12. Qb3+ Ne6,"Possibly it's odd that black wants
to get rid of his knight in a situation favorable to knights. But he's willing
to get rid of one of his knights for the only active white bishop, the (soon
to be) c4 bishop.",False
1. c4 e5 2. Nc3 Nc6 3. Nf3 f5 4. d4 e4 5. Ng5 Bb4 6. Nh3 Nf6 7. e3 Bxc3+ 8. bxc3 d6 9. Nf4 O-O 10. h4 Qe7 11. c5 Nd8 12. Qb3+ Ne6 13. Bc4 Re8 14. Ba3 Kh8,"Ignoring threats on the b-pawn.
After the upcoming exchange, white's only active bishop is gone and black has
good counterplay.",True
