moves,comment,good
1. e4 c6,"Bareev has been a French Defense player for a long time. This may be the first non-French Defense game I've seen him play. He's a classical positional player, as is Leko!",False
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4,"White immediately goes after the exposed Bg6. This has been a normal move for many years now. The main alternative is to first play 6. Nf3, threatening Nf3-e5xg6.",True
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Nf3 Nd7 8. h5,Doing without h4-h5 has also been played quite a lot. Later on the Ph5 could be a weakness as it can quickly be threatened by ...Ng8-f6.,True
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Nf3 Nd7 8. h5 Bh7 9. Bd3,"It always seems a little odd to see this bishop trade offer. Bd3 is White's better bishop, not conflicting with Pd4, but Bh7 is a very good piece and if Black puts all his pawns in the center on light squares then White's light-square bishop won't be better on any other square.",True
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Nf3 Nd7 8. h5 Bh7 9. Bd3 Bxd3 10. Qxd3 e6 11. Bf4 Qa5+ 12. Bd2 Bb4,This is an interesting move which I've only seen recently. It essentially forces a weakening of White's queen-side pawn structure. In times past Black used to play ...Qa5-c7 and possibly aim for a bishop trade by ...Bf8-d6-f4xd2.,True
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Nf3 Nd7 8. h5 Bh7 9. Bd3 Bxd3 10. Qxd3 e6 11. Bf4 Qa5+ 12. Bd2 Bb4 13. c3 Be7,"With Ph5 it's not so likely (though not impossible) for White to O-O, but with Qa5 it's not so easy for White to O-O-O. I think White would like to continue playing toward the center and see how Black's pieces develop before committing Ke1. But, Bd2 would be dominated too easily by a ...Nd5. The cautious alternative 14. a3, preparing c3-c4, just weakens White's queen-side further.",True
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Nf3 Nd7 8. h5 Bh7 9. Bd3 Bxd3 10. Qxd3 e6 11. Bf4 Qa5+ 12. Bd2 Bb4 13. c3 Be7 14. c4 Qa6,"By itself the position of Black's queen should be some kind of warning that his position isn't going to become sufficiently active. Qd3 isn't defended, so there is still some possibility for Black to break out of the shell, but it could quickly become very difficult.",True
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Nf3 Nd7 8. h5 Bh7 9. Bd3 Bxd3 10. Qxd3 e6 11. Bf4 Qa5+ 12. Bd2 Bb4 13. c3 Be7 14. c4 Qa6 15. O-O Ngf6,preparing ...c6-c5xd4. Earlier White could avoid the pawn trade with d4-d5.,True
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Nf3 Nd7 8. h5 Bh7 9. Bd3 Bxd3 10. Qxd3 e6 11. Bf4 Qa5+ 12. Bd2 Bb4 13. c3 Be7 14. c4 Qa6 15. O-O Ngf6 16. Rfe1 O-O 17. Nf5,White can't yet afford Bd2-c3 because ...Nf6-d5 (Pc4 is pinned) threatens Bc3.,True
1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Nf3 Nd7 8. h5 Bh7 9. Bd3 Bxd3 10. Qxd3 e6 11. Bf4 Qa5+ 12. Bd2 Bb4 13. c3 Be7 14. c4 Qa6 15. O-O Ngf6 16. Rfe1 O-O 17. Nf5 Rfe8 18. Nxe7+ Rxe7 19. Bb4 Ree8 20. Ne5 Rad8 21. Qe2 b5,"Black wants to break up White's pawns, so he can use d5.",True
