moves,comment,good
1. e4 e6 2. d4 d5 3. Nc3 Nf6,"French Defense, Classical Variation, He's hoping for e4-e5 to create a fixed blocked pawn structure where Black has ...c7-c5 to create queen-side play.",True
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 dxe4 5. Nxe4 Nbd7,"So, it transposes to a Rubinstein Variation after all. This has been quite popular among GMs in recent years, though Ponomariov beat Ivanchuk in the first game of their FIDE wch match. Black aims to not have any pawn weaknesses and to have a very secure king, hoping to trade minor pieces to achieve a draw. White has to fight piece on piece and be creative to force weaknesses in Black's position, so he can attack. To that end White has often, in recent years, aimed for Bf1-d3, Qd1-e2, O-O-O to bring the rook to the center quickly and to enable more free-wheeling king-side aggression.",True
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 dxe4 5. Nxe4 Nbd7 6. Nf3 Be7,Allowing Black to oppose both Ne4 and Bg5 seems to assure he will be able to trade several minor pieces to achieve the simplification he desires.,True
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 dxe4 5. Nxe4 Nbd7 6. Nf3 Be7 7. Nxf6+ Bxf6 8. h4,"This allows White to maintain some tension, but would appear to commit the king to the queen-side. Black, on the other hand, is probably wondering if his king would truly be safe on the king-side.",True
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 dxe4 5. Nxe4 Nbd7 6. Nf3 Be7 7. Nxf6+ Bxf6 8. h4 c5,Black usually aims to play ...Qd8-a5+ to get out of a pin on the g5-d8 diagonal. It helps in some cases to get rid of White's Pd4 to prevent White from having complete control of e5. It also limits Black's freedom to ...O-O-O and it takes a tempo away from piece development.,True
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 dxe4 5. Nxe4 Nbd7 6. Nf3 Be7 7. Nxf6+ Bxf6 8. h4 c5 9. Qd2 cxd4 10. Nxd4 h6,Without Nf3 to defend Ph4 White has to think twice about retreating Bg5-e3.,True
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 dxe4 5. Nxe4 Nbd7 6. Nf3 Be7 7. Nxf6+ Bxf6 8. h4 c5 9. Qd2 cxd4 10. Nxd4 h6 11. Bxf6 Nxf6 12. Qb4,"White takes control of the queen-side dark squares and Qd8 now appears exposed on the open d-file (after O-O-O) , so ...Qd8-e7 seems sensible.",True
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 dxe4 5. Nxe4 Nbd7 6. Nf3 Be7 7. Nxf6+ Bxf6 8. h4 c5 9. Qd2 cxd4 10. Nxd4 h6 11. Bxf6 Nxf6 12. Qb4 Nd5,"I'm not so certain the knight is better here. It blocks the d-file and chases Qb4, but it also loses contact with d7, where it was useful preventing difficulties on the a4-e8 diagonal.",True
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 dxe4 5. Nxe4 Nbd7 6. Nf3 Be7 7. Nxf6+ Bxf6 8. h4 c5 9. Qd2 cxd4 10. Nxd4 h6 11. Bxf6 Nxf6 12. Qb4 Nd5 13. Qa3,Black already has some difficulties.,False
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 dxe4 5. Nxe4 Nbd7 6. Nf3 Be7 7. Nxf6+ Bxf6 8. h4 c5 9. Qd2 cxd4 10. Nxd4 h6 11. Bxf6 Nxf6 12. Qb4 Nd5 13. Qa3 Qe7 14. Bb5+ Bd7 15. Bxd7+ Kxd7,"Fritz 4 ""thinks"" this position is equal! That it doesn't ""see"" any problems for Kd7 is interesting. Topalov certainly saw possibilities.",True
