moves,comment,good
1. c4,"This game was the most difficult but also the most noteworthy one for
me in the first part of the SEMI English thematic tournament. After having
lost without a fight to the same oponent my black game I felt like winning
here for a long time - before I truly recognized the strength of the endgame
technique of Jorje Miraglia. The game is a very good example of what can be
called ""the turning points"" in a chess game. There are three turning points
here which I try to point out and comment thoroughly. The ability to recognize
such points and change one's plans accordingly is, no doubt, one of the finest
chess skills. I hope my annotations will make this difficult task a little bit
more comprehensive - for me and for anyone who is curious enough to have a
look at them.",False
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4,"? This natural move
is a serious mistake, as the sequel shows. A little better is the acceptance
of the pawn sacrifice (10...cxb2) which, however, is also considered very
promising for white. In any event black does have chances in that variant
whereas here he is doomed to a difficult defence for the rest of the game.",True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2,"! An idea of
Garri Kasparov which I found in a book collection of his games. Other replies
are much weaker, e. g.:",True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2,"forced, as 11...cxb2 gives white a very strong atack:",True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4,"Now, the first turning point of the game has been achieved. White
came out of the opening with a serious advantage being two pawns down he is
nevertheless solidly on top due to the insecure position of the black king and
his lack of development (the only active black piece right now is the knight
at b4). The best strategy for the weak side in such cases is to give back some
or all material and try for fast development. Obviously my partner did not
recognize the seriousness of his position since his next few moves show little
concern. This allowed me to rapidly achieve a technically won game.",True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5,"? Black still does not see how dangerous his position is. Here 12...e5 was
already obligatory. In that case white would have still kept his advantage but
black's chances would have been much better.",True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3,?!,True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3,!,True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3 21. bxc3 Ba3 22. Kd2 Ba4 23. Rxb6 Kc7,"! Here a new turning
point is achieved and this time it was me who failed to reach a proper
evaluation of the position. The last move of Black introduces a beautiful
defencive plan which almost saved the game. He sacrifices a second pawn for
maximum activity of his pieces and a different coloured bishops ending. It
lasted another ten or fifteen moves before I understood what is going on.",True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3 21. bxc3 Ba3 22. Kd2 Ba4 23. Rxb6 Kc7 24. Rxe6 Rd8 25. Rxc2 Bb3,!,True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3 21. bxc3 Ba3 22. Kd2 Ba4 23. Rxb6 Kc7 24. Rxe6 Rd8 25. Rxc2 Bb3 26. Ra6,"?! White should have probably taken
on e5. Now, after the game, the following variant looks to me better than what
actually hapened:",True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3 21. bxc3 Ba3 22. Kd2 Ba4 23. Rxb6 Kc7 24. Rxe6 Rd8 25. Rxc2 Bb3 26. Ra6 Bc5 27. Ke2 Bxc2 28. Bxc2 Rd6,"but, of course, not:",False
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3 21. bxc3 Ba3 22. Kd2 Ba4 23. Rxb6 Kc7 24. Rxe6 Rd8 25. Rxc2 Bb3 26. Ra6 Bc5 27. Ke2 Bxc2 28. Bxc2 Rd6 29. Ra5,"I strongly considered exchanging the rooks but I am still
unable to say if this would have given me a better game. Here is a winning
continuation for white but, of course, it is far from obligatory for Black to
follow those lines.",True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3 21. bxc3 Ba3 22. Kd2 Ba4 23. Rxb6 Kc7 24. Rxe6 Rd8 25. Rxc2 Bb3 26. Ra6 Bc5 27. Ke2 Bxc2 28. Bxc2 Rd6 29. Ra5 Kb6 30. Ra2 Rh6 31. h3 Rg6 32. Kf1 Rd6 33. Bb3 Rd3 34. Rc2 Rd1+ 35. Ke2 Rg1 36. Kf3 g5 37. Bd5,"? White already switched to ""auto
pilot"" and went sleeping. White should have done something against the
advancement of the black pawns on the king side. I have to admit I considered
this position won ""on itself"" and did not put any serious work in it. Black,
instead, played further according to plan (it will become clear in a few moves)
and silently improved his position.",True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3 21. bxc3 Ba3 22. Kd2 Ba4 23. Rxb6 Kc7 24. Rxe6 Rd8 25. Rxc2 Bb3 26. Ra6 Bc5 27. Ke2 Bxc2 28. Bxc2 Rd6 29. Ra5 Kb6 30. Ra2 Rh6 31. h3 Rg6 32. Kf1 Rd6 33. Bb3 Rd3 34. Rc2 Rd1+ 35. Ke2 Rg1 36. Kf3 g5 37. Bd5 Kc7 38. Bg8,?,False
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3 21. bxc3 Ba3 22. Kd2 Ba4 23. Rxb6 Kc7 24. Rxe6 Rd8 25. Rxc2 Bb3 26. Ra6 Bc5 27. Ke2 Bxc2 28. Bxc2 Rd6 29. Ra5 Kb6 30. Ra2 Rh6 31. h3 Rg6 32. Kf1 Rd6 33. Bb3 Rd3 34. Rc2 Rd1+ 35. Ke2 Rg1 36. Kf3 g5 37. Bd5 Kc7 38. Bg8 h5 39. Bf7,again g3 was better,True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3 21. bxc3 Ba3 22. Kd2 Ba4 23. Rxb6 Kc7 24. Rxe6 Rd8 25. Rxc2 Bb3 26. Ra6 Bc5 27. Ke2 Bxc2 28. Bxc2 Rd6 29. Ra5 Kb6 30. Ra2 Rh6 31. h3 Rg6 32. Kf1 Rd6 33. Bb3 Rd3 34. Rc2 Rd1+ 35. Ke2 Rg1 36. Kf3 g5 37. Bd5 Kc7 38. Bg8 h5 39. Bf7 h4 40. Rd2,"? A natural move and a
further mistake. Bc4 when black's rook does not have the f1 square would have
been a move with an idea. White keeps moving sand and this soon is to be felt.",True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3 21. bxc3 Ba3 22. Kd2 Ba4 23. Rxb6 Kc7 24. Rxe6 Rd8 25. Rxc2 Bb3 26. Ra6 Bc5 27. Ke2 Bxc2 28. Bxc2 Rd6 29. Ra5 Kb6 30. Ra2 Rh6 31. h3 Rg6 32. Kf1 Rd6 33. Bb3 Rd3 34. Rc2 Rd1+ 35. Ke2 Rg1 36. Kf3 g5 37. Bd5 Kc7 38. Bg8 h5 39. Bf7 h4 40. Rd2 Kb6 41. Be6 Rf1 42. g3 Rc1,"!! Bang! Th
is was the awaikening strike. I was only expecting lines that would have given
me easy wins and the pain of realizing I was going head down into a drawn
position was almost physical. This lasted for almost 24 hours till I succeeded
in finding a new plan. Shortly: this is the third and last turning point of
the game.",True
1. c4 Nf6 2. Nc3 c5 3. Nf3 d5 4. cxd5 Nxd5 5. e4 Nb4 6. Bb5+ N8c6 7. d4 cxd4 8. a3 dxc3 9. Qxd8+ Kxd8 10. axb4 Nxb4 11. Ke2 c2 12. Ra4 a5 13. Ne5 Be6 14. Bd2 Rc8 15. Rxa5 f6 16. Rc1 fxe5 17. Bxb4 Bb3 18. Bc3 e6 19. Bd3 b6 20. Rb5 Rxc3 21. bxc3 Ba3 22. Kd2 Ba4 23. Rxb6 Kc7 24. Rxe6 Rd8 25. Rxc2 Bb3 26. Ra6 Bc5 27. Ke2 Bxc2 28. Bxc2 Rd6 29. Ra5 Kb6 30. Ra2 Rh6 31. h3 Rg6 32. Kf1 Rd6 33. Bb3 Rd3 34. Rc2 Rd1+ 35. Ke2 Rg1 36. Kf3 g5 37. Bd5 Kc7 38. Bg8 h5 39. Bf7 h4 40. Rd2 Kb6 41. Be6 Rf1 42. g3 Rc1 43. gxh4,"!! A bit too many exclamation marks, no doubt, but this is really the only
winning line I could discover. Everything else I tried draws:",True
