moves,comment,good
1. e4,Though this move isn't unusual for Ivanchuk he had played 1. d4 and 1. Nf3 earlier in this tournament.,False
1. e4 e5 2. Nf3 Nc6,"No more Petrov's Defense, as he played against Kasparov!",False
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4,an anti-Marshall Gambit idea,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3,"Pe4 needs defense to avoid ...Nc6-a5xb3 when Pe5 and Pe4 would just be traded. With Pd3 White might also consider the maneuver Nb1-d2-f1-g3, avoiding simplifying exchanges and aiming to attack on the king-side.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8,Adams keeps hoping he'll find a way for ...d7-d5.,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3,"This is certainly more contentious and forceful than Nb1-d2. He tries to force Pb5 away, so he can move Na3-c4 to add pressure to Pe5.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3,"This might be considered a downside of 10. Na3 since it stops White's plan, or it might be considered a positional gain since Black is giving a bishop for the knight. Such exchanges can be difficult to evaluate.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3,"This avoids any misplacing of Ra1 and he knows Pa4 can be exchanged-off, so he needn't worry about doubled pawns. The bigger question is whether this turns over control of the direction of the game to Black. How much can Black achieve now that he has a move to begin forcing events.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5,"White naturally seeks simplifying exchanges now, and more open positions should be good for his bishops.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5 Nxd5 13. Bb2 Nf4,Black takes advantage of the moment and hops right in; this also opens the diagonal for Bb7.,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5 Nxd5 13. Bb2 Nf4 14. Bc1,"Ivanchuk recognizes his mistake and tries to rectify it, even at the cost of another tempo. But, this gain of time surely gives some initiative to Black.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5 Nxd5 13. Bb2 Nf4 14. Bc1 Nxg2,"leading to amazing complications. The knight is obviously immune because of 15...Nd4 when Nf3 would be pinned, won and an attack on Kg2 would begin.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5 Nxd5 13. Bb2 Nf4 14. Bc1 Nxg2 15. Ng5,Amazingly this gives White a very good chance to turn the tables. Ng2 and Re1 remain en prise while White begins to attack at Pf7 and/or Ph7. White turns the question of whether White's king is exposed into one of which side's queen can participate in an attack best: and the answer to that question is White!,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5 Nxd5 13. Bb2 Nf4 14. Bc1 Nxg2 15. Ng5 Nxe1,Black grabs material and White begins an attack...,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5 Nxd5 13. Bb2 Nf4 14. Bc1 Nxg2 15. Ng5 Nxe1 16. Qh5,It's amazing that Black can survive this position for more than a couple of moves.,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5 Nxd5 13. Bb2 Nf4 14. Bc1 Nxg2 15. Ng5 Nxe1 16. Qh5 Qd7,unable to defend Pf7 or Ph7 he avoid checkmates and gives Kg8 a path to walk away from the attack on dark squares (... Kg8-f8-e7-d8-c8 or ...Kg8-f8-e7-d6-c5-b6) .,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5 Nxd5 13. Bb2 Nf4 14. Bc1 Nxg2 15. Ng5 Nxe1 16. Qh5 Qd7 17. Bxf7+ Kf8 18. Be3 Nd4 19. Rxe1,"threatening Bxd4 followed by Nxh7+, winning",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5 Nxd5 13. Bb2 Nf4 14. Bc1 Nxg2 15. Ng5 Nxe1 16. Qh5 Qd7 17. Bxf7+ Kf8 18. Be3 Nd4 19. Rxe1 Nf3+,Why would he move Nd4 when that piece was doing valuable service preventing Be3-c5+?,True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5 Nxd5 13. Bb2 Nf4 14. Bc1 Nxg2 15. Ng5 Nxe1 16. Qh5 Qd7 17. Bxf7+ Kf8 18. Be3 Nd4 19. Rxe1 Nf3+ 20. Kf1 Nxg5 21. Bc5+ Re7 22. Rxe5 Nxf7 23. Rxe7 Qxe7 24. Bxe7+ Kxe7,"Adams did a fantastic job to stay alive. But, the White queen can do some real damage.",True
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. a4 Bb7 9. d3 Re8 10. Na3 Bxa3 11. bxa3 d5 12. exd5 Nxd5 13. Bb2 Nf4 14. Bc1 Nxg2 15. Ng5 Nxe1 16. Qh5 Qd7 17. Bxf7+ Kf8 18. Be3 Nd4 19. Rxe1 Nf3+ 20. Kf1 Nxg5 21. Bc5+ Re7 22. Rxe5 Nxf7 23. Rxe7 Qxe7 24. Bxe7+ Kxe7 25. Qc5+ Kd7 26. Qd4+ Ke7 27. Qxg7 bxa4 28. Qc3 Kd7 29. Qd4+ Nd6 30. Qxa4+ Ke6 31. Qg4+ Nf5 32. Qc4+ Bd5 33. Qxc7 h5 34. c4 Bh1 35. f4,threatening Qe5+ to win Nf5,False
