moves,comment,good
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3,(Mabe 6.a3 is more circumspect.),True
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5,"#(A typical
Basman move, fights for e5, clears the h-file and gets the Bishop to g7, here
with tempi on Ktc3.)",False
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6,(To forestall 0-0-0 and tell Ktg5 not to be too optimistic about f7.),True
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+,"(That came in handy. the game already plays itself in
that there is no going back on heavy measures.)",False
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+ 15. Kf1 Rh6 16. d6 Rb8,#(Now how on earth will White save the Ng5 or Bb2?),True
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+ 15. Kf1 Rh6 16. d6 Rb8 17. Bh7 Bxg5 18. Bxg8 Rxd6 19. Bxf7+ Kd8 20. Be8 Bf6 21. Bxd7 Bxb2 22. Bg4,(With the idea 22...Bxa1?? 23.Qf8+ +-. saving Rook AND Queen.),True
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+ 15. Kf1 Rh6 16. d6 Rb8 17. Bh7 Bxg5 18. Bxg8 Rxd6 19. Bxf7+ Kd8 20. Be8 Bf6 21. Bxd7 Bxb2 22. Bg4 Rf6,(I really didn't (and Don't) see anything better.),True
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+ 15. Kf1 Rh6 16. d6 Rb8 17. Bh7 Bxg5 18. Bxg8 Rxd6 19. Bxf7+ Kd8 20. Be8 Bf6 21. Bxd7 Bxb2 22. Bg4 Rf6 23. Rd1+ Bd4 24. Bf5 Kc7,"(Probably short of winning, but it semed logical to walk out of the pin, the
more so as",True
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+ 15. Kf1 Rh6 16. d6 Rb8 17. Bh7 Bxg5 18. Bxg8 Rxd6 19. Bxf7+ Kd8 20. Be8 Bf6 21. Bxd7 Bxb2 22. Bg4 Rf6 23. Rd1+ Bd4 24. Bf5 Kc7 25. Re1,(Also 25.g4 proves very tough. I really would like to see a run from Fritz5.),False
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+ 15. Kf1 Rh6 16. d6 Rb8 17. Bh7 Bxg5 18. Bxg8 Rxd6 19. Bxf7+ Kd8 20. Be8 Bf6 21. Bxd7 Bxb2 22. Bg4 Rf6 23. Rd1+ Bd4 24. Bf5 Kc7 25. Re1 e6,"(A very nasty trap in which White falls, he had to play 26.Qf4+
to take away d2 from the Black Queen, in that case I don't see a win for Black,
but he played...)",True
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+ 15. Kf1 Rh6 16. d6 Rb8 17. Bh7 Bxg5 18. Bxg8 Rxd6 19. Bxf7+ Kd8 20. Be8 Bf6 21. Bxd7 Bxb2 22. Bg4 Rf6 23. Rd1+ Bd4 24. Bf5 Kc7 25. Re1 e6 26. Rxe6 Rxe6 27. Bxe6 Qd2,"(White is in terminal
trouble but still manages to squeeze an endgame out of it.)",True
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+ 15. Kf1 Rh6 16. d6 Rb8 17. Bh7 Bxg5 18. Bxg8 Rxd6 19. Bxf7+ Kd8 20. Be8 Bf6 21. Bxd7 Bxb2 22. Bg4 Rf6 23. Rd1+ Bd4 24. Bf5 Kc7 25. Re1 e6 26. Rxe6 Rxe6 27. Bxe6 Qd2 28. g3 Re8 29. Qf7+ Kb6 30. h4 Ka5,"#(Black could have won the Be6 by Qd1+ and Qe2+, and
maybe this would have been the quicker course, in retrospect, because White
drums up some last nasty moves.)",True
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+ 15. Kf1 Rh6 16. d6 Rb8 17. Bh7 Bxg5 18. Bxg8 Rxd6 19. Bxf7+ Kd8 20. Be8 Bf6 21. Bxd7 Bxb2 22. Bg4 Rf6 23. Rd1+ Bd4 24. Bf5 Kc7 25. Re1 e6 26. Rxe6 Rxe6 27. Bxe6 Qd2 28. g3 Re8 29. Qf7+ Kb6 30. h4 Ka5 31. c3 Re7 32. b4+ Ka4 33. cxd4,(Best try.),False
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+ 15. Kf1 Rh6 16. d6 Rb8 17. Bh7 Bxg5 18. Bxg8 Rxd6 19. Bxf7+ Kd8 20. Be8 Bf6 21. Bxd7 Bxb2 22. Bg4 Rf6 23. Rd1+ Bd4 24. Bf5 Kc7 25. Re1 e6 26. Rxe6 Rxe6 27. Bxe6 Qd2 28. g3 Re8 29. Qf7+ Kb6 30. h4 Ka5 31. c3 Re7 32. b4+ Ka4 33. cxd4 Rxf7+ 34. Bxf7 c4 35. h5 c3 36. Bb3+ Kxb4 37. Rh4,"(I was glad he played this instead of the prosaic 37.h6, c2
etc which also wins after many ++)",True
1. d4 h6 2. e4 d6 3. Nc3 a6 4. f4 b5 5. Nf3 Bb7 6. Bd3 c5 7. dxc5 dxc5 8. b3 g5 9. fxg5 Bg7 10. Bb2 hxg5 11. Nxg5 Nd7 12. Qf3 Bf6 13. Nd5 Bxd5 14. exd5 Qa5+ 15. Kf1 Rh6 16. d6 Rb8 17. Bh7 Bxg5 18. Bxg8 Rxd6 19. Bxf7+ Kd8 20. Be8 Bf6 21. Bxd7 Bxb2 22. Bg4 Rf6 23. Rd1+ Bd4 24. Bf5 Kc7 25. Re1 e6 26. Rxe6 Rxe6 27. Bxe6 Qd2 28. g3 Re8 29. Qf7+ Kb6 30. h4 Ka5 31. c3 Re7 32. b4+ Ka4 33. cxd4 Rxf7+ 34. Bxf7 c4 35. h5 c3 36. Bb3+ Kxb4 37. Rh4 a5 38. h6 a4 39. d5+ Ka3 40. h7 axb3 41. h8=Q c2,(A fitting end don't you think. I hope you found this interesting.)),True
