moves,comment,good
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4,"Lilienthal opens in classical fashion, and Capablanca shows his flexibility by adopting the NimzoIndian Defense -- a fashionable new continuation at the time that shocked some of the classically-minded theoreticians.
The NimzoIndian is a formidably complex opening with many fascinating byways, but the ideas at the outset are not too difficult to understand. White, by playing 3.Nc3, threatens to play 4.e4. Even the ""hypermodernists"" realized that giving White this much leeway in the center was a recipe for trouble, so Black must find a way to deter White from occupying that square. The standard method, before Nimzowitsch began to spread his heresy, was 3...d5, transposing into a Queen's Gambit Declined. This effectively stops 4.e4 by putting additional guards on that key square. The Nimzoindian, by contrast, stops e4 by depriving the pawn of support -- the pinned N/c3 is no longer rendering active service.
White has a wide range of responses. 4.Qc2, one of the earliest moves to gain favor, has recently come back into vogue. During the 1970's, it was difficult to find any master who would play anything but 4.e3. Romanishin experimented with 4.g3 in the 1980's. But Lilienthal was fond of a blunt approach championed by Saemisch.",False
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3,"Putting the question to the Bishop. Since Black frequently exchanges on c3 of his own free will, this can seem like a loss of time. But matters are not so simple. For the tempo spent forcing Black to make his choice, White gets a clarified central position in which he knows, to some extent, what Black's options are. The theoretical battle is still going on, though it's not quite so hot as it once was.
Saemisch's 4.a3 remains a viable approach to the position for those who know it well. Lilienthal knows it very well indeed.",True
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 b6,"The battle for e4 continues to rage: Capablanca prepares to meet 6.Qc2 with 6...Bb7, reasserting his control over the critical square.",False
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 b6 6. f3,Lilienthal is determined to dominate the center at all costs. Now mere piece control will not avail Black: he must fight for control of e4 with a pawn. Capablanca does just that.,False
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 b6 6. f3 d5 7. Bg5,"There's a pleasing symmetry to the struggles over e4. Black, on move 3, asserted control by pinning White's Knight. Now White returns the compliment on the other side of the board.",False
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 b6 6. f3 d5 7. Bg5 h6 8. Bh4 Ba6,"One of Black's positional goals in the Nimzoindian is to cripple White's c-pawns and then assault them, particularly the P/c4. Capablanca abandons the struggle over e4 here in order to take a simplifying line in which his Bishop will be exchanged for White's B/f1. The little flurry of tactics that now arises is easily foreseen by master players, but it's worth noting since it is a recurring theme in many d-pawn openings.",False
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 b6 6. f3 d5 7. Bg5 h6 8. Bh4 Ba6 9. e4 Bxc4,This does not really win a pawn: the idea is to simplify rather than to grab material.,True
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 b6 6. f3 d5 7. Bg5 h6 8. Bh4 Ba6 9. e4 Bxc4 10. Bxc4 dxc4 11. Qa4+,This check gets back the pawn.,False
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 b6 6. f3 d5 7. Bg5 h6 8. Bh4 Ba6 9. e4 Bxc4 10. Bxc4 dxc4 11. Qa4+ Qd7 12. Qxc4 Qc6,"Here is Black's idea. White has a large center, but provided Black can maintain control over key breakthrough points, the center will not be too important -- the more so because Black has managed to exchange off half of the minor pieces.",True
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 b6 6. f3 d5 7. Bg5 h6 8. Bh4 Ba6 9. e4 Bxc4 10. Bxc4 dxc4 11. Qa4+ Qd7 12. Qxc4 Qc6 13. Qd3 Nbd7,"This position is what Capablanca was aiming for with 8...Ba6. Black's position is solid and presents no obvious weaknesses, his spatial deficit notwithstanding. It must have seemed a reasonable approach, offering a still-powerful ex-world-champion ample scope for outplaying his young opponent.",True
