moves,comment,good
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 cxd4 5. Qa4+ Bd7 6. Qxd4 exd5 7. Qxd5 Nc6,The Schara Gambit is one of my favorite openings.,False
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 cxd4 5. Qa4+ Bd7 6. Qxd4 exd5 7. Qxd5 Nc6 8. Qd1 Nf6 9. e3 Bc5 10. Nf3 Qe7 11. Bb5 O-O,"In the past, queenside castling was considered better, so that a pawn storm
could be used on the kingside. But Black's fortress on the queenside is a bit
airy, and I prefer kingside castling. It is more comfortable to attack when your king is safe.",False
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 cxd4 5. Qa4+ Bd7 6. Qxd4 exd5 7. Qxd5 Nc6 8. Qd1 Nf6 9. e3 Bc5 10. Nf3 Qe7 11. Bb5 O-O 12. O-O Rfd8,Better 12...Rad8. I realized later that rooks belong at e8 and d8. Typical wrong rook move!,True
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 cxd4 5. Qa4+ Bd7 6. Qxd4 exd5 7. Qxd5 Nc6 8. Qd1 Nf6 9. e3 Bc5 10. Nf3 Qe7 11. Bb5 O-O 12. O-O Rfd8 13. Qe2 Bg4 14. Bxc6 bxc6 15. b3 Nd7 16. h3 Bh5 17. Bb2 Bd6 18. Nb1,Intending Nd2. Probably 18.Rfd1 was better.,True
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 cxd4 5. Qa4+ Bd7 6. Qxd4 exd5 7. Qxd5 Nc6 8. Qd1 Nf6 9. e3 Bc5 10. Nf3 Qe7 11. Bb5 O-O 12. O-O Rfd8 13. Qe2 Bg4 14. Bxc6 bxc6 15. b3 Nd7 16. h3 Bh5 17. Bb2 Bd6 18. Nb1 Be5 19. g4 Bg6 20. Nc3 h5 21. Rfd1 hxg4,Opening the h-file is very double-edged!,True
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 cxd4 5. Qa4+ Bd7 6. Qxd4 exd5 7. Qxd5 Nc6 8. Qd1 Nf6 9. e3 Bc5 10. Nf3 Qe7 11. Bb5 O-O 12. O-O Rfd8 13. Qe2 Bg4 14. Bxc6 bxc6 15. b3 Nd7 16. h3 Bh5 17. Bb2 Bd6 18. Nb1 Be5 19. g4 Bg6 20. Nc3 h5 21. Rfd1 hxg4 22. hxg4 Bc7 23. Kg2 Nf6 24. Nd4 Re8,To discourage any advance of the f-pawn. This is why the rook should have been at e8 all along.,False
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 cxd4 5. Qa4+ Bd7 6. Qxd4 exd5 7. Qxd5 Nc6 8. Qd1 Nf6 9. e3 Bc5 10. Nf3 Qe7 11. Bb5 O-O 12. O-O Rfd8 13. Qe2 Bg4 14. Bxc6 bxc6 15. b3 Nd7 16. h3 Bh5 17. Bb2 Bd6 18. Nb1 Be5 19. g4 Bg6 20. Nc3 h5 21. Rfd1 hxg4 22. hxg4 Bc7 23. Kg2 Nf6 24. Nd4 Re8 25. Rh1 Qd7 26. Rh4 c5 27. Rah1 Nh7,"The defensive plan is ...f6, ...Ng5 and the initiative comes back to me.",True
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 cxd4 5. Qa4+ Bd7 6. Qxd4 exd5 7. Qxd5 Nc6 8. Qd1 Nf6 9. e3 Bc5 10. Nf3 Qe7 11. Bb5 O-O 12. O-O Rfd8 13. Qe2 Bg4 14. Bxc6 bxc6 15. b3 Nd7 16. h3 Bh5 17. Bb2 Bd6 18. Nb1 Be5 19. g4 Bg6 20. Nc3 h5 21. Rfd1 hxg4 22. hxg4 Bc7 23. Kg2 Nf6 24. Nd4 Re8 25. Rh1 Qd7 26. Rh4 c5 27. Rah1 Nh7 28. Nf5 Rad8 29. Qf3 f6 30. Rd1,"Last move of time control (30/90), with 17 seconds left. Izumakawa has been in deep time pressure for the last 7 moves.",False
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 cxd4 5. Qa4+ Bd7 6. Qxd4 exd5 7. Qxd5 Nc6 8. Qd1 Nf6 9. e3 Bc5 10. Nf3 Qe7 11. Bb5 O-O 12. O-O Rfd8 13. Qe2 Bg4 14. Bxc6 bxc6 15. b3 Nd7 16. h3 Bh5 17. Bb2 Bd6 18. Nb1 Be5 19. g4 Bg6 20. Nc3 h5 21. Rfd1 hxg4 22. hxg4 Bc7 23. Kg2 Nf6 24. Nd4 Re8 25. Rh1 Qd7 26. Rh4 c5 27. Rah1 Nh7 28. Nf5 Rad8 29. Qf3 f6 30. Rd1 Qe6 31. Rxd8 Rxd8 32. Ne4,?,False
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 cxd4 5. Qa4+ Bd7 6. Qxd4 exd5 7. Qxd5 Nc6 8. Qd1 Nf6 9. e3 Bc5 10. Nf3 Qe7 11. Bb5 O-O 12. O-O Rfd8 13. Qe2 Bg4 14. Bxc6 bxc6 15. b3 Nd7 16. h3 Bh5 17. Bb2 Bd6 18. Nb1 Be5 19. g4 Bg6 20. Nc3 h5 21. Rfd1 hxg4 22. hxg4 Bc7 23. Kg2 Nf6 24. Nd4 Re8 25. Rh1 Qd7 26. Rh4 c5 27. Rah1 Nh7 28. Nf5 Rad8 29. Qf3 f6 30. Rd1 Qe6 31. Rxd8 Rxd8 32. Ne4 Rd5,"A dangerous square for the rook, with lots of tricks involving Ne7 to calculate.",True
