moves,comment,good
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 a6 6. Be2,"White simply ignores the possibility of ...Bf8-b4xc3, knowing Black's dark squares would be weakened significantly while White could then play c3-c4 to control both b5 & d5. This gives White the better coordination.",True
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 a6 6. Be2 d6 7. O-O Nf6 8. Be3 Be7 9. f4 O-O 10. a4 Qc7 11. Kh1 Re8 12. Bf3 Rb8 13. Nb3 b6 14. Qd2 Na5 15. Qf2 Nc4 16. Bc1 Bb7,"Black's development and Nc4 look terrific, so the question is how Black can utilize these things to blast through White's queen-side. While Nc4 holds Bc1 back it doesn't immediately allow for a break through. Perhaps the central move ...d6-d5 is necessary to bring Be7-b4 to do more damage. Black could also play ...e6-e5 to block Pe4 and make Bf3 useless, then use ...Bb7-c6, ...b6-b5-b4 to gain space and chase White into disarray. The fact Black has these options is an indication of his positional advantage.",True
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 a6 6. Be2 d6 7. O-O Nf6 8. Be3 Be7 9. f4 O-O 10. a4 Qc7 11. Kh1 Re8 12. Bf3 Rb8 13. Nb3 b6 14. Qd2 Na5 15. Qf2 Nc4 16. Bc1 Bb7 17. Nd4 d5 18. e5 Ne4,"aggressive, but best (?) , I don't know. Retreating to d7 might be perfectly good. From there it could go to f8 to defend Ph7 or it could to to c5 to threaten Pa4. And, from d7 it keeps an eye on Pe5.",False
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 a6 6. Be2 d6 7. O-O Nf6 8. Be3 Be7 9. f4 O-O 10. a4 Qc7 11. Kh1 Re8 12. Bf3 Rb8 13. Nb3 b6 14. Qd2 Na5 15. Qf2 Nc4 16. Bc1 Bb7 17. Nd4 d5 18. e5 Ne4 19. Nxe4 dxe4 20. Be2,Now White's queen-side pawns are less fragile because the knights (Nb3 & Nc3) are out of the way and they're more mobile.,False
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 a6 6. Be2 d6 7. O-O Nf6 8. Be3 Be7 9. f4 O-O 10. a4 Qc7 11. Kh1 Re8 12. Bf3 Rb8 13. Nb3 b6 14. Qd2 Na5 15. Qf2 Nc4 16. Bc1 Bb7 17. Nd4 d5 18. e5 Ne4 19. Nxe4 dxe4 20. Be2 Red8,This seems less useful than ...Be7-c5 (if it was immediately safe to play) because the bishop move would have allowed Qc7 to defend f7 and Re8 to defend Pe6.,True
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 a6 6. Be2 d6 7. O-O Nf6 8. Be3 Be7 9. f4 O-O 10. a4 Qc7 11. Kh1 Re8 12. Bf3 Rb8 13. Nb3 b6 14. Qd2 Na5 15. Qf2 Nc4 16. Bc1 Bb7 17. Nd4 d5 18. e5 Ne4 19. Nxe4 dxe4 20. Be2 Red8 21. f5,Now there's immediate pressure on e6 and f7!,False
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 a6 6. Be2 d6 7. O-O Nf6 8. Be3 Be7 9. f4 O-O 10. a4 Qc7 11. Kh1 Re8 12. Bf3 Rb8 13. Nb3 b6 14. Qd2 Na5 15. Qf2 Nc4 16. Bc1 Bb7 17. Nd4 d5 18. e5 Ne4 19. Nxe4 dxe4 20. Be2 Red8 21. f5 e3,Black decides the only way to nip this attack in the bud is to sacrifice Pe4. That's unfortunate and a big turn-around from the advantage Black had only a few moves before.,True
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 a6 6. Be2 d6 7. O-O Nf6 8. Be3 Be7 9. f4 O-O 10. a4 Qc7 11. Kh1 Re8 12. Bf3 Rb8 13. Nb3 b6 14. Qd2 Na5 15. Qf2 Nc4 16. Bc1 Bb7 17. Nd4 d5 18. e5 Ne4 19. Nxe4 dxe4 20. Be2 Red8 21. f5 e3 22. Bxe3 Nxe3 23. Qxe3 Bc5 24. c3 exf5 25. Rxf5 Bxd4 26. cxd4 Qc2,"Black's activation is to keep Be2 pinned (blocking the attack on Pg2) , attack Rf5 and to threaten both Pb2 & Pa4. So, White's advantage is fragile.",True
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 a6 6. Be2 d6 7. O-O Nf6 8. Be3 Be7 9. f4 O-O 10. a4 Qc7 11. Kh1 Re8 12. Bf3 Rb8 13. Nb3 b6 14. Qd2 Na5 15. Qf2 Nc4 16. Bc1 Bb7 17. Nd4 d5 18. e5 Ne4 19. Nxe4 dxe4 20. Be2 Red8 21. f5 e3 22. Bxe3 Nxe3 23. Qxe3 Bc5 24. c3 exf5 25. Rxf5 Bxd4 26. cxd4 Qc2 27. Raf1 Bd5 28. R5f2 Qxa4,"Black restores material equality, but White's doubled rooks on the f-file and central pawns give White better chances on the king-side. If Black can manage a defense of his king he will be alright. First is Pf7; second is Ph7, because Be2-d3 can threaten it quickly.",True
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 a6 6. Be2 d6 7. O-O Nf6 8. Be3 Be7 9. f4 O-O 10. a4 Qc7 11. Kh1 Re8 12. Bf3 Rb8 13. Nb3 b6 14. Qd2 Na5 15. Qf2 Nc4 16. Bc1 Bb7 17. Nd4 d5 18. e5 Ne4 19. Nxe4 dxe4 20. Be2 Red8 21. f5 e3 22. Bxe3 Nxe3 23. Qxe3 Bc5 24. c3 exf5 25. Rxf5 Bxd4 26. cxd4 Qc2 27. Raf1 Bd5 28. R5f2 Qxa4 29. Bd3 Qd7 30. Rf4 Rbc8 31. h3,I don't see much need for this. It's a waste of time.,True
