moves,comment,good
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+,White's variation after 13...Nc5 14.f6 gxf6 15.gxf6 Bf8 16.Rg1! is a tough nut to crack.,True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+ 14. Kb1 Ne5 15. Qh5 Qd8,"15...Qe7 is the more popular alternative, however by playing rare line in a sub-variation I may surprise my opponent. Afterwards Rizzitano told me that he had several games with this position I didn't even know!",False
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+ 14. Kb1 Ne5 15. Qh5 Qd8 16. Nxe6,"After 16.Rg1 I played the novelty 16...h6! in the game Wolff-Browne, World Open 1989, which I managed to win in a very exciting ending.",False
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+ 14. Kb1 Ne5 15. Qh5 Qd8 16. Nxe6 Bxe6 17. fxe6 g6,The most critical line. After 17...0-0 Black concedes a slight edge to White.,True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+ 14. Kb1 Ne5 15. Qh5 Qd8 16. Nxe6 Bxe6 17. fxe6 g6 18. exf7+ Kxf7 19. Qe2 Kg7,I have to move my king off the f-line sooner or later.,True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+ 14. Kb1 Ne5 15. Qh5 Qd8 16. Nxe6 Bxe6 17. fxe6 g6 18. exf7+ Kxf7 19. Qe2 Kg7 20. Nd5 Ra7,"A very important move which underlines my strategy to control the f-line. On c8, the rook would be subject to attack via h3, not to mention the fact that Black can't hope for any real pressure on c2.",True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+ 14. Kb1 Ne5 15. Qh5 Qd8 16. Nxe6 Bxe6 17. fxe6 g6 18. exf7+ Kxf7 19. Qe2 Kg7 20. Nd5 Ra7 21. Bh3 Rf8 22. Rhf1 Raf7 23. Rxf7+ Rxf7,"White correctly neutralizes my pressure on the file, but he can't claim any advantage and we both had over 4 minutes left!",True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+ 14. Kb1 Ne5 15. Qh5 Qd8 16. Nxe6 Bxe6 17. fxe6 g6 18. exf7+ Kxf7 19. Qe2 Kg7 20. Nd5 Ra7 21. Bh3 Rf8 22. Rhf1 Raf7 23. Rxf7+ Rxf7 24. Be6 Rf3 25. Bg4 Rf8,The bishop is worse on g4 than on e6.,True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+ 14. Kb1 Ne5 15. Qh5 Qd8 16. Nxe6 Bxe6 17. fxe6 g6 18. exf7+ Kxf7 19. Qe2 Kg7 20. Nd5 Ra7 21. Bh3 Rf8 22. Rhf1 Raf7 23. Rxf7+ Rxf7 24. Be6 Rf3 25. Bg4 Rf8 26. Bh3 Bh4,"A wonderful all-purpose move! Firstly, I want to play Rf8-f2, but this is almost a misdirection as the Black queen will enter the game powerfully on g5.",False
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+ 14. Kb1 Ne5 15. Qh5 Qd8 16. Nxe6 Bxe6 17. fxe6 g6 18. exf7+ Kxf7 19. Qe2 Kg7 20. Nd5 Ra7 21. Bh3 Rf8 22. Rhf1 Raf7 23. Rxf7+ Rxf7 24. Be6 Rf3 25. Bg4 Rf8 26. Bh3 Bh4 27. Rf1 Rxf1+ 28. Qxf1 Qg5,The idea of Qg5-d2xh2 can't be adequately repulsed as 29.Qe2 allows 29...Qg1+ and 29.Qd1 runs into 29...Nc4.,True
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+ 14. Kb1 Ne5 15. Qh5 Qd8 16. Nxe6 Bxe6 17. fxe6 g6 18. exf7+ Kxf7 19. Qe2 Kg7 20. Nd5 Ra7 21. Bh3 Rf8 22. Rhf1 Raf7 23. Rxf7+ Rxf7 24. Be6 Rf3 25. Bg4 Rf8 26. Bh3 Bh4 27. Rf1 Rxf1+ 28. Qxf1 Qg5 29. a4,White's best chance.,False
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7 10. g4 b5 11. Bxf6 Nxf6 12. g5 Nd7 13. f5 Bxg5+ 14. Kb1 Ne5 15. Qh5 Qd8 16. Nxe6 Bxe6 17. fxe6 g6 18. exf7+ Kxf7 19. Qe2 Kg7 20. Nd5 Ra7 21. Bh3 Rf8 22. Rhf1 Raf7 23. Rxf7+ Rxf7 24. Be6 Rf3 25. Bg4 Rf8 26. Bh3 Bh4 27. Rf1 Rxf1+ 28. Qxf1 Qg5 29. a4 Nc4,Threat on threat it seems. however once again the other idea or Qg5-e5 is a killer.,True
